State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,14.38,14.1,14.4,15.1,15.43,15.75,15.96,16.09,16.23,16.35,16.87,17.62,18.57,19.32,20.01,20.65,21.38,22.17
Alabama,12.63,12.33,11.57,11.18,11.67,12.59,13.11,13.1,13.09,13.61,13.88,15.37,15.71,16.18,16.53,17.13,17.9,19.09
Alaska,6.81,6.8,6.17,6.11,6.41,5.98,6.92,6.59,6.71,7.63,8.03,9.1,7.82,8.69,9.18,9.18,9.53,9.88
Arizona,9.92,9.62,10.76,11.41,12.72,13.34,13.81,14.72,15.29,16.16,18.7,21.27,26.93,28.35,26.86,24.31,23.94,24.14
Arkansas,9.07,8.97,9.63,9.9,9.75,10.01,9.71,9.75,9.66,9.76,10.2,11.04,12.26,12.49,13.69,14.07,14.95,15.13
California,13.7,13.69,14.35,14.95,15.35,15.89,16.37,16.28,16.49,16.33,16.64,17.19,17.91,18.92,20.46,21.15,22.31,23.89
Colorado,20.34,19.23,20.32,20.83,21.32,21.95,23.09,22.81,23.39,22.39,21.6,22.41,24.1,24.77,26.07,25.77,25.91,27.13
Connecticut,18.86,18.53,18.39,19.47,20.12,19.43,20.17,20.46,20.84,20.92,21.12,21.42,22.42,22.8,22.58,23.67,24.44,25.47
Delaware,20.35,18.45,20.1,19.45,19.19,19.77,20.4,18.52,18.93,18.8,18.42,20.82,20.95,23.55,24.68,27.35,27.86,27.67
Florida,10.5,10.25,10.51,11.09,11.92,12.02,12.4,12.47,12.73,13.06,13.67,14.25,15.39,16.09,16.8,18.01,18.71,18.65
Georgia,10.64,10.53,10.96,12.05,13.47,12.64,12.25,12.38,12.38,12.18,12.72,13.46,14.04,15.21,16.13,16.79,17.49,18.25
Hawaii,14.3,13.24,12.78,12.37,14.18,14.25,14.88,14.68,15.58,16.08,14.27,15.06,15.17,17.4,17.61,19.12,19.49,20.6
Idaho,10.67,9.81,10.26,11.81,11.07,12.8,14.03,14.16,13.96,15.08,16,15.74,17.18,19.76,20.71,21.61,21.87,22.33
Illinois,13.12,13.12,13.4,14.3,14.05,15.24,15.45,15.37,15.52,15.59,16.07,16.46,16.98,17.51,17.95,18.05,19,19.41
Indiana,14.42,13.92,14.81,15.39,15.61,16.38,16.28,16.73,16.35,15.74,16.95,18.56,19.39,19.86,20.59,21.81,22.3,23.07
Iowa,18.56,17.72,18.02,19.1,19.09,19.52,19.6,20.65,22.34,24.95,31.88,37.55,39.51,37.91,27.13,27.36,26.94,27.55
Kansas,14.81,15.32,14.53,15.37,15.51,15.73,15.33,15.94,15.57,15.92,15.91,15.51,16.68,16.53,17.24,17.12,17.79,17.9
Kentucky,10.28,9.83,10.5,10.05,10.64,10.96,11.93,11.98,12,12.03,12.03,12.5,13.47,13.82,14.22,14.57,15.11,16.18
Louisiana,11.69,11.3,11.38,11.96,11.77,12.11,12.13,12.9,12.46,12.22,11.59,12.47,12.94,13.74,14.14,14.59,14.94,15.69
Maine,20.27,19.24,19.31,20.75,19.48,20.18,20.37,21.04,22.12,21.51,23.27,24.49,25.29,24.1,25.29,26.4,28.05,28.12
Maryland,18.93,18.88,19,19.98,20.9,21.37,21.24,20.49,20.45,20.63,21.16,21.92,23.58,24.72,25.37,27.44,28.57,29.21
Massachusetts,27.58,27.22,27.27,27.55,27.82,28.21,27.93,27.31,27.79,27.35,28.06,28.96,30.24,31.42,32.96,33.99,35.38,36.23
Michigan,14.74,14.51,14.83,15.63,15.93,15.88,16.07,16.43,17.1,17.35,17.85,17.69,18.16,18.39,19.27,19.61,20.49,21.47
Minnesota,15.74,15.45,15.86,16.09,16.97,17.99,18.43,18.5,19.54,19.8,20.77,21.82,23.32,24.46,24.85,25.19,25.44,25.94
Mississippi,8.86,8.97,8.92,8.33,8.74,8.88,9.22,9.79,9.63,9.96,10.24,10.32,11.1,10.97,12.04,12.05,12.7,13.56
Missouri,15.26,15.26,16.03,16.38,16.54,16.37,16.55,16.65,16.51,16.84,17.19,17.7,18.54,19.36,19.43,20.07,21.04,21.15
Montana,20.15,19.26,19.01,20.16,19.22,18.32,17.74,19.06,18.47,19.59,18.03,19.48,18.28,20.56,22.61,23.41,22.45,23.76
Nebraska,15.4,14.55,13.8,13.99,14.41,16,16.21,16.57,17.14,17.09,17.82,18.59,19.13,19.58,20.6,19.31,20.24,20.36
Nevada,5.76,5.13,5.48,5.86,6.96,6.72,8,7.5,8.17,8.27,8.5,9.15,9.54,9.67,10.63,11.69,11.81,12.33
New Hampshire,26.85,23,21.98,22.77,24,23.53,23.15,23.37,22.73,23.74,25.01,26.13,26.27,27,27.96,31.77,31.83,36.99
New Jersey,15.93,15.38,15.84,16.48,16.81,16.45,16,15.81,15.61,15.8,16.32,16.48,17.73,18.14,18.56,19.21,19.87,20.66
New Mexico,10.89,9.86,9.44,10.4,10.56,10.78,10.71,11.29,10.81,11.4,11.26,11.85,12.24,12.57,14.07,13.51,15.01,15.67
New York,18.16,18.42,18.25,20.1,20.05,20.28,19.99,19.86,19.81,20.12,20.72,21.55,22.27,23.43,24.43,25.93,27.3,28.68
North Carolina,14.76,14.34,14.96,15.45,16.02,15.83,15.17,15.93,15.94,15.95,16.15,17.22,17.95,18.45,19.14,19.43,19.93,20.15
North Dakota,18.11,15.88,16.2,16.87,15.58,15.3,14.95,16.06,16.12,16.37,17.44,16.99,17.6,17.77,17.48,19.52,19.48,21.48
Ohio,13.06,12.97,13.22,13.79,14.05,14.21,14.52,15.03,14.59,14.81,15.32,16.09,17.13,16.69,17.71,18.71,19.34,20.52
Oklahoma,11.17,11,11.03,10.53,11.45,12.3,12.68,12.85,12.61,12.84,12.23,12.5,13.21,13.34,13.74,13.99,15,15.55
Oregon,16.31,15.35,15.74,16.57,17.79,17.92,18.44,18.65,18.35,18.2,19.2,19.94,21.91,23.56,25.49,25.88,25.58,27.53
Pennsylvania,19.2,18.74,19.15,20.24,20.55,20.89,20.91,20.84,21.11,21.17,21.53,22.26,23.09,24.52,25.74,26.54,27.03,28.58
Rhode Island,23.36,21.27,22.18,24.24,24.51,24.54,25.47,24.71,25.94,25.61,26.4,27.48,28.32,30.18,33.01,34.45,36.57,36.95
South Carolina,12.15,11.84,12.1,12.88,12.51,13.25,13.41,12.96,12.93,13.02,13.42,14.58,14.69,15.94,16.81,17.48,17.91,18.65
South Dakota,19.31,17.51,17.63,16.99,18.14,17.65,18.74,19.38,19.63,19.21,20.16,20.11,20.34,20.98,21.11,21.1,22.47,23.28
Tennessee,11.82,11.15,11.67,12.35,12.33,12.39,12.36,12.32,12.57,12.85,13.07,13.61,14.51,14.63,14.93,15.28,15.91,16.57
Texas,9.41,9.1,9.16,9.82,10.03,10.39,10.51,10.76,10.87,10.88,11.18,11.59,11.94,12.42,12.75,13.14,13.72,14.67
Utah,16.4,15.49,17.21,19.04,20.2,21.03,21.01,22.06,21.54,21.87,22.2,24.09,25.01,25.17,26.38,27.74,28.22,28.21
Vermont,32.06,31.17,30.24,29.83,29.33,30.69,30.81,32.36,33.22,36.07,39.29,39.22,41.09,41.22,38.95,40.13,40.13,41.16
Virginia,18.87,17.72,17.43,17.74,17.42,17.9,18.18,18.19,18.63,18.95,20.11,21.71,23.39,24.54,25.39,26.2,26.68,26.52
Washington,14.03,13.74,14.03,14.79,15.31,16.27,16.15,16.76,16.22,16.4,17.19,17.69,18.82,20.28,20.39,21.23,21.87,22.42
West Virginia,12.74,12.48,12.83,13.42,12.66,13.37,14.4,15.97,18.13,17.43,18.8,20.65,22.47,24.76,27.03,29.06,31.87,31.99
Wisconsin,16.46,16.5,16.44,17.33,17.98,17.89,18.28,19.16,19.19,19.63,20.13,20.87,21.35,22.4,23.24,23.69,24.03,24.53
Wyoming,13.66,11.6,11.57,11.12,10.8,9.82,11.61,10.69,11.85,11.3,11.79,12.87,13.73,13.56,14.18,14.03,16.29,18.57
