GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,United States,2291578477,2393504406,2509155874,2640829317,2649353355,2852813147,3020279137,3091671813,3089342572,3263455251,3347825088,3460551251,3643532060,3778693869,3997146437,4248480817,4483900774,4661223158,4908594827,5109427781,5223402637,5407288281,5758299664,6038664676,5973179358,5991498996,6212869554,6441574496,6731962588,6754024679,6635915098,6738531505,6797738437,7038883748,7456192109,7713905500,8027962583,8222276211,8536524884,8800152584,8868557756,8798109325,9126098851,9250683296,9484383990,9760249639,10063323377,10448140568,11034672509,11364556843,11885049544,12028699741,12056064035,12216970418,12607291826,12876734334,13380820600,13712215688,13752634478,13345173926,13543035250,13943999486,14354030686,14309585082,14700575546,15324108725
1000,Alabama,27719206.99,29956806.53,31281476.83,32465550.05,31129936.13,35372903.5,37399862.24,38481346.3,39025423.14,40748190.7,41766775.41,42708442.02,44395787.69,46545026.67,49857626.93,53262189.36,55536345.74,56880148.64,59617226.55,62814103.26,64783410.68,68301428.83,73511485.97,77846199.79,77767869.02,79468817.56,84262205.26,87148409.17,91597840.65,91386644.69,88778514.22,89340392.71,88906943.36,92264937.84,97291299.34,101199948.1,105159957.7,107422113.3,110971419.5,115283121.1,116187953.1,117746462.5,123065423,124986627.3,129032790.5,132757626.1,134573155.8,138551128.6,145776884.2,148209761.8,151048528.1,152882417.1,154014014.2,156892752.6,163735151.7,167500535.3,172426633.2,175798015.3,176129397.6,173607310.2,177246338.9,178106411.4,179214134.1,177924342,182124688.4,189356877
2000,Alaska,3854634.025,4904966.539,5512013.688,5779717.246,5560339.521,5684180.607,5918619.475,5668527.25,5539776.198,5727804.949,6463653.773,6313926.778,6510519.515,6955960.974,7688342.155,8162933.199,8441148.31,8922795.914,9244180.623,10109162.54,10917253.48,11524784.84,12181755.22,13255351.89,14480541.6,18138699.55,20174737.08,19658498.96,18814958.38,17858075.25,17848041.68,18401259.36,21147744.81,22293533.46,22724110.95,23728461.33,23504221.16,21762404.37,21789305.4,22820444.03,22940222.59,22970224.12,23808616.12,24337735.53,24511308.17,24478187.29,24421550.39,25175449.55,25917291.29,26169903.42,27209657.58,27877550.09,28754559.89,29457087.2,30256991.72,31179611.84,32190299.26,33741052.97,35774202.39,35666463.15,37068835.54,38488814.24,39448473.19,38449657.21,39839917.97,41312407
4000,Arizona,10391602.22,11933760.37,13325229.9,14041499.6,14448670.86,15916222.19,17677198.41,18726569.78,19342973.77,21175538.61,22688620.48,24466305.74,26073345.47,27058813.44,28648313.6,29931469.88,31724915.65,33492517.45,36871828.85,40750649.26,43861046.54,48023875.39,53325042.93,57973605.51,58855816.25,57983750.77,61073907.4,64456843.55,70662997.86,74715596.94,75831592.91,78532910.32,78313435.39,83360197.25,90562149.46,97040431.91,104440574.4,108965507.1,112728368.6,115616462.5,114941508.4,115855486.2,119924138.5,125365900.4,134117668.8,141965595,149474210.6,158656982.4,171581140.2,178588069.9,188610474.4,192111183.7,196150895.1,201914809.4,214343459.4,229805308.1,247014151.3,253311944.5,249424306,238704850,238255883.8,243319490.7,248990166.8,247903341.4,255395717.2,266755995
5000,Arkansas,15978919.03,16851270.58,17190252.7,17184442.66,16869125.47,18402114.85,18792816.51,18777161.52,19024452.45,20629153.33,20481984.2,22051015.32,23333601.61,24393077.04,26133096.84,27136264.44,29310714.62,30153366.61,31297114.09,33128111.5,34427146.86,36711522.16,40159190.87,44741223.99,45006811.98,45452631.14,47439544.05,49541535.83,53375821.25,52528621.66,49966799.26,51255223.5,50783449.09,52324770.06,55832388.35,57453782.08,59253862.9,59412828.14,61199873.07,62650606.13,62541082.79,63403617.17,67143040.71,68435621,70845400.06,73258637.4,75550745.84,77394622.98,80923389.63,82454822.65,84071201.7,85996487.32,86407267.97,89370552.33,92653645.48,94218520.89,97795460.92,101531870.2,102635374.5,101225965,101615081.2,105149906.9,110493200.4,109964297.5,112209138.7,116485302
6000,California,203368788.2,218853366.3,238595506.4,253902996.5,259755265.5,286593651.3,309046213.6,321485624.5,328892793.6,357063308.6,371005768.9,389591477.8,415477600.3,438442311.2,468621112.8,492436654.5,520291122.9,542738777.7,570658931.5,595280382.2,607451846.7,620372960.1,659766662.1,681352801.9,684234137,693233017.9,726849865.9,757155151.8,801652249.6,816262767.9,816478707.2,831342099.9,837140910,877332894,935268596.1,976585837,1029968534,1071660573,1118099314,1149119096,1167775563,1157244574,1184894106,1178051792,1185081320,1212429793,1252039541,1302343825,1397420511,1461366226,1562074699,1573095531,1576140124,1606688209,1662441066,1697775439,1765672258,1789376501,1764391172,1698203328,1721134908,1781800134,1870908559,1881738879,1941829829,2061337141
8000,Colorado,20444791.38,22527481.32,23846799.12,23906493.34,24433959.18,26696524.77,29027942.54,30844278.99,30705634.36,32737032.39,34452254.63,36732228.79,38348479.44,39636554.3,41387610.36,43493981.41,45498288.08,47596015.34,50736683.13,54007694.65,57713156.91,62350406,68363799.94,73531940.55,74187220.03,74926999.13,77940974.36,81634466.8,87525248.79,90235985.92,91088958.24,95065510.97,98206918.16,102252796.1,106985367.6,109169730.6,111399551.4,111545641.6,113348888.3,116996654.6,117630222.4,119572297.4,126249960.1,132784376.7,139494105.1,147463722.2,154495180.9,162518515.1,177989419.7,188729849.5,203884638.6,208767930.1,207074181.3,206577312.5,210534686.6,217344258.9,225920534.2,232093520.6,234858389.8,228011265.4,229803617.3,239243690.5,248694140.7,250742826.5,262046120.7,275107294
9000,Connecticut,37984973.84,40449084.2,43381096.29,46688540.75,47252775.26,51108285.25,55028367.6,56798340.58,53536842.27,56810726.9,58188322.09,60984394.83,64499177.22,67200670.94,71244962.97,75381375.76,80521324.54,85608092.17,87292979.69,94891667.59,95775680.29,96632041.58,100934551.3,103379875.7,101597736.1,100033535.9,102063010.9,105608888.9,109287390,110326634,110621276.1,112573132.8,114497170.3,118648204.4,127419276.2,132057301.5,139616671.8,147290046,155983342,161564870.6,157712847.3,152441783.6,159244449.6,159948545.7,160038898.6,163994225.6,167057512.4,174172940.7,183775938.2,188664184.7,198212455.6,200747733.9,197789081.8,198325038.8,206632350.3,210595995.3,220677982.7,228711720.5,225509732.9,218412300.7,223113290.3,226562472.3,232794195.4,227457014.5,233570368.8,240519358
10000,Delaware,6587076.15,6563657.085,6916531.71,7369488.8,7589786.569,8792764.689,9990118.414,9740538.354,9738569.258,10104450.1,10428531.8,10658416.68,11200434.54,11836450.83,12636981.87,13660967.64,13979584.53,14446370.65,15122338.44,15794457.68,15920621.26,16693159.98,17766663.9,18509602.4,18056483.9,17839868.69,18382763.6,18575198.29,18946393.76,18680847.44,18492431.65,18451384.94,18729429.65,19426696.24,20520863.42,21600429.75,22557796.7,23513371.63,24680728.47,26218872.15,26119605.26,26517571.59,26907523.02,27141977.97,27511130.94,28340354.42,29450105.48,30070778,32130737.03,33089547.87,34753365.01,36200165.83,37041293.43,37340991.4,38844029.8,39561775.69,41151880.29,41227718.37,41176791.47,41015283.82,40862482.54,41663777.18,42354182.44,42191145.3,43443487.25,45093172
12000,Florida,19268901.85,18786040.35,19387927.99,18677924.95,18239964.84,18160994.27,18724247.15,18852888.87,18730083.9,19152122.03,19052499.44,19835437.48,21121581.6,22157046.27,23200982.47,24597917.71,24938533.71,25886003.26,26081214.46,24055836.98,25225658.22,26904197.62,28297748.81,28033073.57,27389809.52,27254915.24,27284863.86,27505150.13,27231199.4,25808245.72,24032833.46,23391830.91,23499142.57,23742625.89,24862937.3,25437895.78,26239498.98,26666551.08,28133495.16,28615179.01,28245424.7,28317113.59,29036910.44,29377533.8,29299040.38,28669608.98,28997041.97,29843594.62,31222080.74,31971908.86,34032197.43,34670984.61,34827615.26,35026230.57,36292218.7,37099352.31,38733003.06,40123421.16,42298335.22,41103932.77,41931327.51,44035127.31,45216803.22,45308756.65,46070479.73,48070272
