GeoFips,County,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15001,Hawaii,41010,43555,43898,44336,44104,54995,44950,42905,43394,42685,40166,42594,36593,36383,37613,36641,35909,38094,37474,38257,39276,39257,38455,39305,39141,39057,37985,36837,36387,36909,37486,38217,39055,41164,42257,42618,42971,42711,40999,40160,40615,40089,39548,40137,39957,40174
15003,Honolulu,48230,49865,50809,52314,52293,50259,49386,50053,50548,50304,48125,45821,45237,45610,46977,47718,48088,49287,49114,50527,51343,52060,51721,53668,53485,52900,51680,50284,50790,50117,50617,50656,51223,53185,54255,55215,55345,55296,54755,54677,55946,56943,56909,57422,56395,56653
15007,Kauai,43076,43512,43951,43326,44510,55456,43245,41513,41760,39831,38863,41576,37224,38031,38920,37818,37656,38686,37535,39904,41579,41579,41186,42421,45309,44093,43025,41160,40541,38877,38694,38954,38426,41293,41116,41243,41509,42054,41775,41322,42660,41927,41830,42007,41937,42569
15901,Maui,43147,44966,44945,45935,44355,51182,43690,43284,44020,41958,41383,41605,38157,37945,40650,39545,39059,40496,40053,40890,42168,43026,42155,43163,43214,43618,42787,41433,40891,40470,41644,41504,41353,42721,43664,44105,44249,44998,44198,43094,43098,42724,42797,43741,43083,43483
