County,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Honolulu,265.1,277.8,284.9,287.4,291.2,298.4,312.5,325.8,333,332.3,325.7,330.1,334.4,342.3,351.4,366.5,378.1,395.5,410.7,415.6,418,414.8,411.5,408.2,404.7,403.7,400.9,401.4,411.9,412.6,412.9,419.6,429.7,442.7,451.8,455.4,452.8,437.3,434.4,439.6,448.4,456.6,461.6,469.6
Hawaii,21.8,22.5,22.8,24.4,24.9,25.6,26.6,27.7,28.5,28.9,28.7,29.4,30.4,32.3,33.2,35.3,37.1,41.4,45.5,48,47.6,47.7,47.3,47.1,48.2,49.4,49.9,50.9,53.3,54.7,56,57.4,59.7,62.2,65.1,66.8,65.6,61.3,60.3,60.3,61.7,63.2,63.5,63.4
Maui,15.7,16.6,17.6,19.5,20.8,22.4,24.5,26.4,27.5,28.5,29.9,31.1,32.2,34.6,36.1,38.9,41.9,45.4,48.3,50.3,52.8,54.1,54.4,54.1,54.3,55.2,56.5,58.1,60.5,62.1,62,63.4,65.9,68.1,70.5,72.4,71,65.6,64.6,65.6,68,69.9,71.3,72.7
Kauai,10.2,10.7,10.7,11.6,12.3,13,13.7,14.3,15.2,15.2,15.1,15.7,15.7,16.7,17.9,19.3,21,23.2,24,25.2,24.6,22.4,22.9,23.5,23.3,23.4,23.9,24.6,25.6,25.6,26,27,28.1,28.8,29.6,30.4,29.8,27.5,27.7,27.8,28.2,29.1,29.3,29.3
