GeoFips,State,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
18000,Indiana,15037,15716,16019,17390,16001,16945,17593,17325,16649,17479,17832,17978,19024,19465,20215,21693,22414,22531,23286,24109,23427,24193,25425,27289,26187,25896,27105,28000,28820,28377,26811,26705,26079,26572,28241,28779,29826,30443,31171,32225,32071,31333,32623,33030,33907,34122,34702,35395,37353,37779,38707,38346,38010,37914,38511,37952,38661,38715,38582,37107,37380,38309,39215,38958,39625,40998
19000,Iowa,15126,15014,15581,14878,15974,14973,15519,16591,16534,16697,16671,17479,18082,19000,19657,21482,22590,22084,22748,23973,24025,23942,25902,29211,27250,27856,27734,28618,30627,29480,27631,28395,27722,27623,29528,29828,30685,31267,30940,32102,31996,31228,32317,31301,33102,33344,35146,35815,36823,36802,37935,37964,38338,38255,40337,39890,40649,42084,43306,42118,42051,44316,44863,44497,44990,44971
20000,Kansas,14585,14804,16690,15810,16221,15937,16312,16600,17592,17503,17696,18034,18443,18744,19558,20549,21471,21835,22632,23695,24178,25159,27064,28906,28115,28063,28534,28978,29623,30179,28960,29548,29975,30115,31506,32024,32882,32993,33106,33230,33378,32949,34036,34250,34596,34772,35806,36898,38407,38759,39563,39867,39342,39639,40150,40635,42309,43578,45065,42964,42647,44680,45139,45083,44944,45876
21000,Kentucky,9864,10730,11278,11824,11595,12152,12705,12779,12860,13252,13252,13912,14496,14957,15246,16215,17191,17904,18628,19594,19890,20307,21507,22501,22524,22160,22994,23925,24520,24508,23371,23524,23530,23595,25237,25448,25745,26245,27434,28148,28219,28352,29329,29218,29658,29924,30596,31492,32634,33081,34347,34439,34492,34389,35190,35402,35971,36216,36276,35630,35845,36435,36972,36594,37440,38989
22000,Louisiana,11143,11258,11717,12215,12054,12585,13376,13934,13704,13985,13749,14047,14449,15065,15574,16373,17345,18273,19077,19103,19389,19909,20816,21700,22024,22310,23398,24140,25319,25409,25249,26015,25905,25901,26394,26484,26020,25559,26236,26817,27608,27708,28565,28959,29878,30263,30548,31267,32060,31878,32442,33620,33788,33837,34470,35568,39088,40989,41676,40157,40464,40574,41837,41530,42080,43252
23000,Maine,11920,12270,13184,13209,13146,14407,14979,14997,15181,15524,15895,15632,16105,16429,17509,18540,19130,19380,20017,20944,21631,21841,22749,23787,23481,22904,24377,24527,24974,24717,24467,24361,24773,25558,26923,27861,29517,30618,31834,32617,31882,30941,31403,31381,31869,32367,33087,33964,35560,36261,37313,37846,38282,39032,39852,39208,39995,40409,40396,40420,40328,40669,40869,40251,40793,42077
24000,Maryland,16729,17257,18219,18757,17904,18961,19911,20075,19175,19556,19914,20571,21418,21827,22784,23717,24792,25745,26882,28836,29798,30806,32264,33220,32485,32081,32862,33272,34237,33708,33024,33008,33546,34636,36378,37753,39367,40266,41623,42248,41833,41024,41369,41392,41780,41990,42338,43320,45500,46809,48649,49276,49700,50242,51986,52550,53968,54536,54280,53846,54003,54581,54794,53461,54240,56127
25000,Massachusetts,16601,16956,17396,17719,17411,18740,19563,19855,19429,20159,20475,21062,21850,22083,22830,23724,24697,25753,26882,27609,27947,28436,29644,30145,29365,29041,29567,30245,31070,31015,30763,30945,31942,33475,35940,37310,39352,40910,42881,42887,41854,40839,41624,41805,42546,43442,44598,46003,47803,49485,52906,53230,52360,52484,53544,54122,56362,57274,56960,55566,56134,57244,58587,57535,58807,61032
26000,Michigan,16876,17275,17736,19512,18221,19713,19772,19408,18272,18953,19258,18993,20052,20813,22180,23747,24711,24631,25936,26427,25522,26364,28198,29467,28269,27720,29242,30746,31706,31051,29256,28510,28007,29049,30789,32158,33422,33316,34024,34832,34363,33351,34069,34619,36079,36803,37306,38209,39608,40415,41324,40478,39964,40010,40273,39945,39791,39843,39441,37738,38260,39348,39902,39880,40788,42427
27000,Minnesota,14192,14495,14713,15313,15358,16007,16182,16448,16706,16941,17384,17867,18412,19178,19550,21068,22056,22722,23722,24651,25040,25346,26588,29184,28197,27759,28130,29565,30634,30355,29360,29300,29410,29929,32418,33006,34145,34893,34803,35981,35897,35091,36196,35720,36918,37588,38941,39780,42222,42950,44502,44601,44662,45415,46329,45858,46597,47508,47619,45367,46268,47642,48822,48236,49056,50541
