State,2014
United States,0.131
Alabama,0.153
Alaska,0.071
Arizona,0.139
Arkansas,0.146
California,0.179
Colorado,0.094
Connecticut,0.1
Delaware,0.111
Florida,0.128
Georgia,0.144
Hawaii,0.083
Idaho,0.099
Illinois,0.118
Indiana,0.116
Iowa,0.079
Kansas,0.097
Kentucky,0.155
Louisiana,0.164
Maine,0.083
Maryland,0.104
Massachusetts,0.104
Michigan,0.101
Minnesota,0.075
Mississippi,0.172
Missouri,0.112
Montana,0.074
Nebraska,0.097
Nevada,0.149
New Hampshire,0.079
New Jersey,0.11
New Mexico,0.158
New York,0.143
North Carolina,0.135
North Dakota,0.078
Ohio,0.107
Oklahoma,0.127
Oregon,0.103
Pennsylvania,0.106
Rhode Island,0.142
South Carolina,0.138
South Dakota,0.083
Tennessee,0.142
Texas,0.178
Utah,0.086
Vermont,0.08
Virginia,0.115
Washington,0.095
West Virginia,0.149
Wisconsin,0.087
Wyoming,0.075
