GeoFips,GeoName,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
12000,Florida,519,467,397,317,289,348,378,453,491,466,502,531,634,837,1057,1154,1215,1201,1197,1236,1243,1347,1439,1536,1634,1625,1739,1866,1911,1961,2081,2094,2118,2196,2289,2441,2595,2781,3010,3360,3789,4160,4464,4891,5398,5790,6160,6592,7219,8121,8992,10177,11361,11960,12950,14033,15004,15787,16618,17768,19310,19945,20207,20976,21837,22493,23666,24641,25525,27025,27873,29570,30546,31046,31932,34053,36258,38693,39819,39709,37350,38478,40215,41041,41497
13000,Georgia,343,303,254,197,202,241,267,300,312,288,308,338,432,592,749,852,899,859,896,1000,986,1091,1245,1326,1374,1356,1481,1558,1587,1639,1718,1756,1806,1907,2031,2156,2339,2552,2754,2990,3284,3533,3815,4194,4641,5002,5338,5849,6360,7116,7810,8550,9530,10173,11012,12248,13144,14055,14824,15882,16865,17732,18193,19251,19975,20989,22115,23340,24260,26007,27099,28672,29573,29885,30478,31508,33000,34408,35546,35761,34348,34341,36422,37229,37845
15000,Hawaii,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1585,1846,2066,2127,2126,2122,2149,2180,2143,2310,2531,2673,2756,2953,3130,3418,3678,3916,4335,4908,5544,5798,6177,6645,7418,7926,8363,8817,9650,10578,11841,12665,13157,14237,15033,15824,16607,17437,18942,20880,22381,23188,24526,25122,25357,25702,25559,26223,26553,27463,28927,29640,30605,31814,33816,35681,37883,40046,41447,41360,41668,42989,44578,45204
16000,Idaho,499,488,366,268,228,389,394,466,421,421,431,458,593,919,1040,1110,1144,1204,1273,1343,1287,1340,1518,1676,1576,1593,1629,1768,1832,1857,1933,1939,2015,2131,2208,2292,2593,2617,2786,2945,3352,3649,3872,4280,4832,5499,5743,6246,6621,7395,7923,8770,9529,9819,10551,11183,11702,12017,12678,13718,14998,15951,16301,17419,18467,19130,19989,20807,21276,22668,23714,25258,26068,26485,27100,28974,29989,32035,33057,32819,31688,32100,33677,35142,36146
17000,Illinois,950,810,673,489,440,508,576,654,734,652,710,758,900,1048,1278,1405,1488,1551,1652,1824,1698,1850,2050,2115,2235,2205,2301,2487,2557,2525,2652,2711,2805,2916,2996,3148,3378,3614,3804,4058,4400,4642,4948,5343,5953,6503,7082,7649,8375,9221,10125,10953,12127,12856,13433,14788,15576,16406,17351,18696,19872,21014,21254,22785,23344,24377,25670,27092,28404,29868,30850,32934,33748,34123,34723,36180,37697,40184,42260,43327,41545,42033,44169,46009,46980
18000,Indiana,604,512,435,308,294,357,419,481,546,472,518,552,726,918,1150,1208,1264,1212,1316,1453,1361,1529,1724,1791,1959,1816,1916,2019,2054,2030,2146,2227,2268,2424,2513,2644,2883,3064,3175,3419,3733,3835,4134,4484,5112,5447,5878,6505,7157,7927,8691,9318,10239,10615,11163,12378,13063,13789,14589,15554,16852,17677,17996,19303,20129,21192,21925,22954,23949,25670,26546,28114,28646,28910,29528,30821,31472,33073,34006,34963,33687,34344,36367,38136,38622
19000,Iowa,570,500,396,293,252,271,418,391,513,450,468,494,603,828,1023,1004,1095,1238,1212,1621,1361,1538,1647,1742,1676,1813,1693,1781,1967,2016,2050,2082,2205,2304,2453,2571,2855,3088,3112,3340,3712,3933,4091,4568,5472,5668,6323,6657,7316,8424,9029,9603,10887,11285,11605,12942,13538,14186,14984,15435,16784,17632,17937,19121,19075,20689,21425,23250,24235,25323,25870,27583,28375,29182,29840,32259,33010,34567,36850,39455,38749,39033,42656,44014,44763
20000,Kansas,526,460,394,267,251,288,360,387,427,383,382,425,556,860,1062,1182,1179,1142,1304,1351,1315,1483,1624,1866,1781,1841,1802,1872,1968,2145,2149,2210,2275,2350,2420,2558,2731,2935,3077,3323,3669,3958,4299,4773,5415,5848,6370,6849,7408,8148,9244,10066,11330,12202,12654,13809,14536,15203,15811,16522,17380,18401,18926,20139,20873,21623,22343,23686,24967,26399,27235,28764,29796,29911,30800,31978,33437,35989,37973,40610,38769,38811,42098,43380,44417
21000,Kentucky,388,322,287,208,204,232,264,293,339,296,305,322,401,551,717,778,815,836,871,1004,944,1003,1177,1261,1332,1316,1374,1458,1515,1568,1627,1655,1755,1847,1931,1994,2155,2350,2523,2735,3034,3256,3470,3793,4215,4685,5030,5518,6115,6743,7505,8121,9019,9576,9912,11060,11550,11902,12576,13686,14715,15549,16281,17350,17803,18533,19223,20232,21301,22429,23239,24938,25719,26229,26750,28097,29211,30682,31710,32855,32333,32929,34568,35857,36214
22000,Louisiana,409,353,315,238,226,263,289,328,352,347,359,365,465,617,811,896,908,846,890,1023,1082,1133,1235,1310,1376,1368,1423,1535,1652,1671,1717,1717,1772,1841,1945,2037,2176,2371,2575,2801,2958,3174,3402,3671,4065,4581,5064,5616,6170,6963,7782,8774,9974,10544,10881,11567,12020,12029,12247,13089,14024,15215,15910,16898,17644,18669,19436,20192,21141,22020,22382,23552,25098,25662,26339,27552,29380,33187,35816,37814,36410,37199,38501,40617,41204
23000,Maine,599,573,492,380,373,418,435,509,513,476,500,532,641,873,1126,1123,1101,1149,1183,1257,1201,1212,1346,1474,1488,1492,1629,1719,1778,1851,1906,1985,1972,2052,2121,2290,2464,2615,2731,2939,3243,3541,3732,4012,4456,4884,5199,5849,6269,6868,7570,8502,9340,10082,10737,11800,12645,13646,14673,15883,17057,17573,17771,18579,19122,19916,20793,21881,22975,24441,25473,27108,28271,29009,30251,31715,32259,34106,35513,36661,36842,37213,38802,39863,40924
24000,Maryland,775,721,646,522,474,531,558,627,674,643,673,722,895,1157,1324,1359,1349,1353,1386,1546,1539,1701,1893,2037,2113,2032,2144,2285,2380,2338,2401,2487,2595,2729,2818,2980,3152,3389,3628,3947,4465,4878,5264,5690,6223,6757,7282,7888,8506,9417,10324,11479,12657,13656,14553,15945,17138,18202,19297,20771,22098,23062,23566,24480,25226,26114,26984,28005,29314,31265,32890,35331,36808,37860,39265,41807,43793,46370,48254,49778,49285,50035,52191,53659,53826
25000,Massachusetts,911,842,766,621,567,617,653,725,742,683,735,792,921,1102,1296,1330,1382,1424,1459,1534,1502,1688,1860,1945,1996,1976,2119,2245,2354,2369,2475,2557,2657,2784,2851,2986,3153,3376,3629,3947,4275,4575,4859,5228,5647,6108,6592,7096,7731,8546,9499,10693,11865,13003,14065,15753,16936,18195,19606,21400,22433,23074,23462,24632,25481,26596,27922,29510,31137,32870,34780,38430,39770,39674,40614,42691,44613,47961,50229,51515,50330,51487,54235,56713,57248
26000,Michigan,792,657,540,394,348,454,532,621,687,574,628,683,834,1058,1371,1403,1341,1339,1474,1560,1522,1716,1895,1983,2198,2068,2229,2269,2301,2228,2327,2405,2396,2555,2687,2901,3156,3378,3471,3808,4092,4178,4505,4973,5520,5880,6292,7018,7860,8722,9510,10170,10932,11401,12205,13496,14598,15453,15967,16978,18217,18942,19158,20161,21100,22552,23651,24681,25857,27225,28399,30015,30236,30350,31122,32119,32952,33851,34853,35594,34190,35082,37163,38585,39055
27000,Minnesota,594,547,457,361,310,359,449,473,538,493,517,524,616,799,954,1012,1118,1194,1272,1449,1332,1443,1590,1645,1725,1743,1810,1857,1950,2037,2080,2171,2254,2346,2476,2557,2800,3015,3202,3483,3817,4099,4331,4689,5467,5865,6301,6752,7557,8426,9297,10205,11235,11972,12575,14209,14983,15787,16722,17368,18816,19786,20158,21418,21770,23076,24156,25764,26922,29024,30180,32326,33324,33881,35222,36881,37746,39587,41596,43074,41230,42572,45220,47377,47500
28000,Mississippi,277,197,169,122,126,167,174,222,220,196,201,212,315,456,552,642,640,618,669,798,710,780,866,921,956,949,1072,1079,1091,1185,1280,1272,1363,1398,1536,1591,1726,1884,2052,2253,2493,2730,2966,3317,3721,4040,4344,4861,5344,5885,6598,7121,7952,8341,8694,9460,9935,10281,10891,11685,12684,13286,13866,14814,15596,16663,17375,18263,19091,20048,20578,21564,22780,23190,24012,25271,26826,28019,29501,30672,30278,30834,32108,33446,33913
29000,Missouri,619,560,489,365,334,368,420,467,507,476,504,520,646,818,979,1082,1147,1200,1231,1376,1332,1438,1575,1682,1763,1756,1850,1939,1982,2111,2198,2228,2292,2409,2507,2619,2832,2996,3176,3492,3639,3936,4213,4553,5035,5376,5876,6395,7056,7817,8684,9361,10432,11153,11866,13073,13924,14605,15288,16133,17221,17884,18551,19619,20317,21307,22166,23249,24473,25516,26390,28006,28786,29343,30358,31724,32716,34429,35841,37401,36417,36606,38016,39933,40663
30000,Montana,592,501,387,334,299,365,475,478,514,515,530,566,708,901,1155,1185,1212,1310,1480,1638,1432,1677,1832,1854,1842,1807,1935,1972,2034,2123,2076,2130,2083,2431,2400,2440,2624,2810,2890,3033,3391,3742,3927,4498,5152,5526,5994,6346,6749,7787,8311,9138,10290,10728,11165,11709,11869,12474,12957,13381,14765,15521,16362,17071,18050,18183,18842,19507,20253,21676,22223,23593,24748,25288,26637,28112,29490,31465,33360,34699,33682,34612,36890,39142,39366
31000,Nebraska,584,510,409,302,273,264,404,394,413,402,399,439,548,823,1029,1101,1196,1187,1270,1547,1362,1584,1668,1798,1707,1796,1693,1719,1997,2112,2113,2217,2223,2386,2431,2488,2756,2990,3094,3279,3658,3905,4241,4653,5387,5580,6364,6613,7140,8227,8852,9386,10848,11653,12062,13358,14112,14627,15366,16362,17304,18459,18994,20004,20482,21587,22567,24330,24848,26424,27515,28967,30179,30654,32537,33689,34696,36003,38458,40534,39473,39926,43721,45914,47157
32000,Nevada,874,834,665,557,499,560,667,845,775,785,864,902,1001,1592,1550,1526,1658,1788,1793,1791,1845,2063,2288,2487,2542,2513,2625,2597,2679,2740,2894,3036,3106,3324,3317,3346,3436,3605,3801,4292,4702,5138,5445,5783,6296,6654,7225,7874,8698,9908,10808,11803,12836,13203,13709,14587,15465,16225,17004,18405,19588,20475,21198,22563,23349,24348,25330,26591,27479,28564,29706,31208,31767,31866,33310,35680,38583,39841,40837,39911,36840,36657,37445,39229,39235
