State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Missouri,1339708,1334802,1428378,1477199,1511950,1545627,1511289,1580347,1620528,1656311,1673986,1708816,1765105,1825907,1869963,1934626,1960156,2012640,2043022,2061767,2036587,2057016,2080376,2093601,2141364,2153064,2183901,2099886,2054077,2066536,2108578,2149664
Montana,138172,139536,145008,163697,164390,166331,146558,156787,166747,172082,184918,192788,195734,203066,206062,212423,215687,223029,231369,239398,240781,243947,254672,262157,273730,282808,291806,281577,279509,279880,296350,309227
Nebraska,384685,374674,392673,419844,423854,428289,428291,454219,472563,494739,499265,519873,539041,566350,594584,603754,615884,632040,647932,668395,643514,654567,677867,685718,704840,714685,718282,704709,698755,693453,713296,717449
Nevada,241350,243685,271691,286480,302014,325238,348116,373295,407691,422383,435281,456641,499673,528991,556398,589646,604674,655026,696017,712582,743536,765831,815689,848086,912583,961360,943342,861246,833803,833987,871015,883043
New Hampshire,262453,272137,296129,329679,336453,343456,339396,346954,346904,329353,338194,347488,365522,390559,404403,412933,429124,442238,456851,473215,462858,457562,468261,478447,489619,495715,513718,494456,496927,489109,487796,490700
New Jersey,2127017,2187420,2304591,2415331,2448556,2510087,2553490,2603823,2616539,2542288,2554599,2609475,2634699,2701222,2717801,2798837,2834285,2889186,2972159,3051700,3038524,3027117,3074518,3061953,3105021,3129018,3129504,2988975,2936633,2945469,2988081,3049042
New Mexico,241968,237510,256170,285852,282618,284642,287606,298551,314395,328465,342202,361271,379700,394670,406445,414048,422659,439872,445342,459762,457662,471612,480373,497241,523999,529289,539459,520352,509516,512395,513789,526240
New York,4881407,4977473,5180518,5322651,5460180,5542655,5552692,5666281,5723162,5572604,5552845,5612986,5645588,5712321,5716838,5817728,5898297,5985738,6164497,6245134,6176321,6276245,6342368,6381247,6466658,6493032,6589442,6390436,6336848,6449243,6608076,6721874
North Carolina,1639541,1657067,1796751,1874159,1932830,1978770,2057652,2128321,2207096,2163508,2225139,2308511,2419258,2532608,2575804,2664509,2716024,2799796,2855977,2927353,2854616,2844975,2862038,2929511,3027270,3090392,3111246,2948416,2871583,2937936,3019362,3056742
North Dakota,130184,129623,133347,149535,150633,155493,145476,151303,158383,165797,171807,179663,186001,192675,194469,204438,209634,210498,215730,220893,220863,227261,232479,238538,245581,255291,258610,259112,261344,269228,286151,296193
Ohio,2939947,2917604,3068358,3149123,3188990,3243951,3353474,3468819,3550330,3538846,3576509,3697268,3776938,3934112,4014716,4096573,4176708,4219161,4342633,4308903,4191476,4184437,4189726,4213283,4265807,4248367,4229511,4005290,3908696,4004465,4118666,4170531
Oklahoma,708536,691323,704072,749888,728997,701733,681028,703250,752641,761894,772833,811760,826760,851963,884456,918843,956216,971066,995878,1005123,997290,992647,1006577,1032475,1083510,1103062,1120451,1097843,1064469,1090394,1123604,1162590
Oregon,561218,571542,604959,639872,659465,683424,693538,726051,785443,813668,823813,865298,912367,953411,1003602,1050995,1066389,1087025,1112560,1132612,1126318,1140172,1150354,1198883,1238063,1257310,1273613,1193533,1191654,1184843,1216715,1257135
