State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
New Jersey,364322,351685,371159,406787,436815,476360,500053,515234,488710,441624,408940,374815,347946,348584,358931,371729,390968,420990,449895,453005,445163,441285,423714,396582,401106,407295,386544,345557,325022,326955,343382,327565
New Mexico,78338,74700,79534,76173,84540,86129,81963,79251,79492,78892,77302,72700,71807,76767,78693,79760,75476,76748,79137,77980,80215,85447,81917,80713,82431,87212,87787,82285,76172,73708,70860,58036
New York,884703,813433,842883,892627,932634,1013509,1099223,1110365,1073547,977968,932591,804594,746273,769454,779052,789796,827835,883387,923573,928818,887971,888918,859384,810240,819718,848239,838594,780697,747022,746961,771858,778583
North Carolina,276305,232477,265489,298189,350148,343689,362720,389417,388944,339691,335510,327871,312557,331723,336365,346861,365074,380006,408826,424931,394783,407398,392723,378681,391986,402933,393074,336493,308048,295046,293805,291821
North Dakota,35595,31410,32867,33103,31287,27736,30757,29773,29516,28770,27878,26229,25766,27325,28815,32316,26633,28900,30564,31301,28040,28192,26325,26958,27491,28494,31252,29489,29425,28796,30776,33742
Ohio,434360,384279,401099,430558,478037,498657,545239,578887,574598,526763,496679,457301,446984,451032,452926,442485,450568,472012,511516,498869,445510,466923,451440,419385,421633,433979,398938,367346,345801,332227,322214,326059
Oklahoma,212255,179683,170608,165270,167318,154416,160718,167436,156165,155497,148954,134041,133751,135948,139536,136881,141709,147574,161826,165893,155272,151638,145082,137672,149979,159497,165610,155349,139222,136492,136262,127194
Oregon,178713,134603,148647,157187,159657,166599,180598,167633,175013,173717,163820,156786,157925,167482,167367,183880,180992,184458,184064,182002,160512,162965,160366,168400,172615,180090,171713,147907,133727,130810,126980,128343
Pennsylvania,485786,439582,459484,506320,565767,621535,644465,658472,639917,575097,538768,490275,452775,462484,461920,454389,460838,490056,530368,530923,522804,552925,502575,488547,481786,494539,463300,415288,386291,372234,361759,353493
Rhode Island,44909,40829,43947,48545,54128,55756,61137,63295,57741,51937,47817,52263,41665,44155,43988,45510,45685,50162,46628,48874,47029,41889,44153,42459,42822,42443,43301,39947,33980,32108,33182,33537
South Carolina,126811,118384,137953,154175,168294,185485,194599,216546,216376,200437,182974,163769,156784,162194,178250,187743,187531,211253,226091,215170,200023,200103,198460,192124,198095,197896,193593,157594,151410,139368,138344,133343
South Dakota,31315,29994,28666,29905,31284,28870,32845,35337,35613,37412,38393,35622,34333,36675,34978,34214,33761,36556,37927,41721,36173,38095,37075,37364,33555,35808,36567,35433,31836,31469,31956,30796
Tennessee,209363,197004,202255,225369,237497,254007,275964,283310,275092,255414,265873,241335,232993,269319,249047,250750,248018,260271,278158,269686,235887,243729,240264,225786,242366,251579,249675,206953,190439,183433,187083,199121
Texas,1080393,965165,1018510,1049636,1088264,938262,950498,951332,977949,982585,951008,952218,951128,995923,1013162,1029584,1034993,1074405,1097271,1116705,1061573,1104806,1065112,1029350,1101780,1163578,1149113,1061282,1006635,976964,997301,1016582
Utah,80901,74830,80914,86306,89363,88766,87597,95251,105388,105113,100160,107485,100300,105476,119614,125896,136882,153668,151879,139764,123896,123339,131873,141482,158086,163975,157672,132376,116376,116703,112894,124652
Vermont,30809,26970,27503,29170,33554,38381,40228,42594,40975,36275,31417,30146,30749,28090,27728,27794,27356,29676,30407,29874,29294,31265,28449,30588,26044,25974,27372,25933,27315,22591,30662,18937
Virginia,255100,239940,238524,272213,322469,323637,341948,359922,360115,316696,295857,287119,283374,287274,292190,300745,296452,314152,337293,339544,310147,319646,318457,314461,338717,332720,324809,293314,275143,263562,262697,262527
Washington,241751,215808,228970,249294,262064,279438,295293,289459,303643,301158,303226,282725,274701,278269,269472,276559,282255,302288,327007,327354,287976,287409,283949,280487,289683,306435,297392,260181,240846,224791,219689,220779
West Virginia,66838,60067,57417,62113,75462,76130,81519,84957,87457,73432,67867,65861,62957,63336,61575,59663,57389,56913,60057,57910,57017,58287,58663,55602,56386,57047,56214,54704,50004,47851,45318,41483
Wisconsin,216001,190082,192321,209038,194388,246367,270225,274698,270611,256466,246528,224253,218423,219492,217518,215809,219009,236319,253008,250240,242763,254182,247506,233835,223737,221782,213381,194472,174939,167177,156403,152978
Wyoming,41989,32428,31106,29503,29254,24675,25090,24307,24182,23235,23101,21157,22618,25124,24158,24987,25421,27159,28231,28763,27922,28856,27631,27817,28223,30939,30897,27610,25252,23849,24947,23980
