State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Rhode Island,0.026,0.024,0.029,0.031,0.034,0.04,0.033,0.036,0.027,0.025,0.026,0.023,0.037,0.021,0.027,0.026,0.03,0.021,0.033,0.021,0.022,0.028,0.027,0.026,0.023,0.026,0.022,0.016,0.018,0.019,0.016,0.016
South Carolina,0.036,0.028,0.038,0.038,0.037,0.042,0.048,0.031,0.031,0.03,0.03,0.026,0.034,0.031,0.03,0.031,0.033,0.033,0.029,0.028,0.03,0.033,0.028,0.03,0.03,0.028,0.022,0.026,0.021,0.02,0.019,0.02
South Dakota,0.045,0.041,0.043,0.041,0.038,0.055,0.038,0.029,0.039,0.037,0.03,0.031,0.036,0.029,0.033,0.032,0.032,0.03,0.031,0.028,0.03,0.028,0.024,0.026,0.03,0.025,0.028,0.023,0.026,0.021,0.022,0.018
Tennessee,0.036,0.032,0.038,0.034,0.037,0.041,0.032,0.034,0.031,0.032,0.028,0.028,0.03,0.029,0.03,0.028,0.031,0.029,0.024,0.023,0.027,0.026,0.025,0.026,0.027,0.023,0.022,0.017,0.019,0.018,0.019,0.016
Texas,0.05,0.042,0.045,0.044,0.044,0.045,0.039,0.038,0.04,0.039,0.04,0.035,0.037,0.037,0.037,0.035,0.037,0.033,0.03,0.031,0.038,0.032,0.032,0.035,0.032,0.029,0.028,0.025,0.027,0.025,0.024,0.023
Utah,0.047,0.053,0.047,0.042,0.046,0.042,0.046,0.041,0.036,0.037,0.034,0.036,0.041,0.044,0.04,0.039,0.042,0.036,0.034,0.034,0.038,0.038,0.035,0.037,0.039,0.034,0.029,0.025,0.03,0.027,0.029,0.025
Vermont,0.041,0.033,0.046,0.044,0.047,0.047,0.043,0.04,0.034,0.031,0.031,0.029,0.029,0.029,0.032,0.027,0.032,0.028,0.027,0.023,0.031,0.026,0.026,0.025,0.025,0.028,0.02,0.027,0.016,0.017,0.016,0.014
Virginia,0.035,0.028,0.031,0.037,0.038,0.039,0.036,0.033,0.028,0.027,0.028,0.026,0.026,0.028,0.026,0.027,0.029,0.027,0.025,0.023,0.027,0.025,0.026,0.027,0.027,0.021,0.022,0.019,0.019,0.018,0.018,0.016
Washington,0.047,0.045,0.045,0.041,0.043,0.046,0.04,0.034,0.042,0.035,0.036,0.033,0.034,0.035,0.034,0.034,0.037,0.036,0.032,0.028,0.029,0.031,0.03,0.03,0.033,0.028,0.025,0.02,0.021,0.021,0.02,0.018
West Virginia,0.037,0.03,0.03,0.04,0.034,0.043,0.036,0.037,0.031,0.034,0.027,0.024,0.026,0.03,0.031,0.026,0.029,0.026,0.023,0.022,0.024,0.024,0.022,0.026,0.029,0.02,0.019,0.017,0.02,0.016,0.019,0.015
Wisconsin,0.03,0.026,0.03,0.029,0.028,0.039,0.028,0.026,0.026,0.025,0.023,0.022,0.023,0.023,0.023,0.022,0.027,0.023,0.02,0.021,0.024,0.022,0.024,0.022,0.024,0.019,0.017,0.015,0.016,0.014,0.013,0.013
Wyoming,0.11,0.067,0.049,0.05,0.045,0.058,0.041,0.039,0.036,0.036,0.035,0.044,0.046,0.037,0.042,0.04,0.051,0.036,0.037,0.037,0.043,0.034,0.033,0.035,0.043,0.034,0.03,0.029,0.026,0.025,0.024,0.023
