State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Montana,128.2,184.1,272.9,252.3,197.8,212.4,202.5,248.7,247.9,284,303.8,385.4,314,353.8,486.8,447.9,352.7,1459.6,349.9,386.8,312.2,397,399.4,273.6,336.8,292.8,318.3,277.3
Nebraska,149,142.1,128.3,135.5,142.4,134.1,135.9,124.1,124.5,135.2,145.1,197.6,206.4,219.6,266.2,236,210.4,262,226.8,245.1,263.4,278.6,268.8,201.1,230.9,211.4,197.6,198.6
Nevada,1192.6,1138.6,1012.6,822.8,648.3,643.9,408.8,441.1,417.6,373.1,342.4,428.2,396.4,466.1,580.9,578.2,392.7,273.2,260.6,491,336.4,408,394,460.3,384.6,286.7,201.2,226.4
New Hampshire,389.7,523.6,407.3,594.8,522.3,489.5,597.7,596.4,556.6,581.4,684.4,882.5,574.3,915.9,722.5,839.6,629,516.2,437.1,691.4,524.6,594.1,700.7,413.8,455.4,453.1,483.1,443.2
New Jersey,653.2,680,656.8,555.9,520.5,468.1,440.6,438.5,478.5,851,614.8,510.9,635.4,617.7,648,688.5,569.4,557.4,545.4,633.8,720.2,636,520.9,406.6,453.8,368.2,372.2,428
New Mexico,5443.2,4554.2,4769.8,4748.5,3682.4,3652.5,3542.9,3367.7,3206.4,3429.6,3520.9,4441.6,4296.9,4468.3,4652.7,4717.8,4138.2,4183.1,4117,4473.8,4037.7,4094.5,3921.2,3910.7,4119.8,3871,3950.9,3538
New York,557.4,578.3,568.1,458.8,471.2,443.5,415.5,393.6,397.2,406.8,439.2,507.7,541.5,612.1,603,677.2,656.6,638.6,539.8,742.9,664.7,588.8,537.6,507.7,495,481.2,491.7,497
North Carolina,291.4,307.1,307.4,302.8,295.9,321.3,300.6,315.4,318.2,335.9,341.4,442.6,439.9,491.7,494,505,464.5,459.7,439.1,520.7,543.8,505.1,452.8,400.4,412.2,401.5,388.6,393.8
North Dakota,273.7,220.4,267.7,235.5,217.3,200.1,187,208.3,203.9,236.3,246.8,294.2,393.9,391.5,376.2,392.7,374,351.9,290.2,301.2,341.8,319.8,228.3,223.1,192.9,194.9,204.3,173.5
Ohio,641.4,517.3,543,542.8,470.8,473.4,428.5,464.9,1353.2,876.6,498.9,686.9,532.4,652.8,599,611.4,537.7,699.6,490.4,886.2,812.8,688.6,650.3,450.6,440.6,464.8,431.4,430.8
Oklahoma,177.8,141.5,131.3,118.6,138,148.7,124.6,139.5,149.3,135.9,184.7,251.5,211.9,433.5,365.8,281.7,182.8,165.4,164.5,235.7,271.2,282.5,263.2,151.1,177.9,245.3,186.1,193.7
Oregon,195.8,231.6,233.7,223.8,254.6,247.9,259.7,260,276,315.3,347.5,383.7,366.4,367.3,349.5,429.4,317.3,300.4,337.3,381.3,396.3,401.7,354.9,295.3,321.3,284.8,263.2,264.6
Pennsylvania,591.3,593.3,488,678.1,510.1,598.9,464.3,442.7,433.3,429.8,524.2,590.7,682.2,830,748.8,708.1,609.9,599.1,569.3,768.6,884.2,781.1,625.3,542.7,592.2,582.8,612.7,567.6
Rhode Island,1248.6,1391.5,1195.7,1492.6,1287.8,1494.7,1632.9,1083.4,1008.6,994.5,1027,1056.3,1183.4,1291.2,1429.2,1892.5,1269.7,1249.1,1298.1,1416.3,1385,1248,1113.9,945.9,1042.5,950.7,1128.5,1076.4
South Carolina,218.4,230.4,153.2,148.1,163.2,136.9,143,122.7,134.2,149.1,166.8,213.2,249.3,295.7,239.3,292.2,210.3,227.3,240.7,364.5,359.8,260.1,279.7,193,221,199.9,200,211.8
South Dakota,73.9,101.3,102.9,110.5,102.8,98.2,126.4,147.5,157.4,129.1,124.7,172.1,179.1,162.6,200.6,193.3,200,155.7,187.1,196.9,186,148.2,149.2,130.5,153.8,159.3,148.3,162
Tennessee,571.6,494.3,430.6,411.1,376.8,312.8,290.9,288.2,306.6,327.3,386.3,477,518,498.3,598.2,594.6,574.4,706.4,628.1,801.6,784.4,680.2,739,736.1,690.7,763.8,784,747
Texas,680.3,432.2,513.1,433.1,590.4,629.2,520.8,520.4,568.8,516.6,389.7,399.3,435.6,643.9,628.3,563.8,609.5,661.4,480.4,576.6,638.1,483.8,475.5,426.8,364.7,425.1,392.1,370.3
Utah,874.5,802.6,551.4,480.3,484.2,525.1,478.7,414.7,492.6,369.4,355,474.9,506.2,859.2,1193.5,991.7,734.1,809.5,561.5,971.5,1422.6,1421.5,748.6,673.1,858.5,775.2,608.6,654.1
Vermont,230.4,300.4,263.9,304.1,228.6,240.7,207.5,212.7,237.6,247.1,286.4,433.4,510.8,735.8,1469,887.3,340.8,345.1,379.3,474,438.6,374.7,306.5,302.1,334.6,234.4,233.2,222.6
Virginia,1381.7,1406.4,1506.1,1542,1623,1432.4,1913.2,1965.6,1833.7,2186.9,1803.8,1763,2134.6,2257.9,2358.3,2662.6,2590.1,2510.6,2479.5,2569.8,2455.8,2146.8,2048.9,1595.8,1836.1,1773.6,1712.5,1408.7
Washington,1028.5,790.8,547.6,510.6,534.9,598.7,581.3,580.9,570.3,583,594,759.2,874.4,1021.5,909.7,980.1,1437.6,1583.9,1398.4,1362.3,1289,1600.5,864.6,1048,1049.2,672.8,566.9,685.4
West Virginia,262.5,389.4,357.8,429.3,423.9,554.2,472.5,349.6,435.3,395.1,394.7,613.2,416.8,628.4,501.9,1230.7,436.7,306.1,306.3,368,439.2,329.4,352.3,226.3,272.4,313.4,185.8,177.3
Wisconsin,172.3,180.6,179.2,194,188.4,169.8,160.2,155.8,154.1,173.3,187.9,212.7,256.8,277,264.3,259.1,242.2,247.2,238.4,328.9,294.1,266.3,257,223.8,232,226.6,227.4,222.5
Wyoming,403.2,202.5,272.5,304.4,219.2,202.7,210.6,157.7,181.5,184,175.1,178.9,188.8,198.7,212.4,161,147.5,142,176.7,243.9,134.6,131.2,259.8,138.6,150.7,175.2,140.8,151.1
