State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
South Dakota,5572,NA,6105,NA,8844,NA,9255,NA,8342,NA,9971,NA,9868,NA,10866,NA,13266,NA,12886,NA,14720,NA,11704
Tennessee,14444,NA,17832,NA,28078,NA,36423,NA,39685,NA,45318,NA,70857,NA,88267,NA,80978,NA,72668,NA,79215,NA,76636
Texas,6568,NA,8343,NA,7626,NA,9264,NA,9621,NA,11446,NA,14299,NA,14757,NA,15515,NA,14025,NA,12443,NA,18243
Utah,1171,NA,1182,NA,2914,NA,2888,NA,3338,NA,2956,NA,4808,NA,5061,NA,5286,NA,6509,NA,6438,NA,5691
Vermont,23007,NA,29821,NA,48799,NA,61748,NA,60935,NA,73734,NA,98653,NA,102551,NA,108527,NA,122192,NA,123304,NA,97950
Virginia,9289,NA,12912,NA,20311,NA,24581,NA,26334,NA,30230,NA,47520,NA,50710,NA,47663,NA,44257,NA,43697,NA,37257
Washington,230,NA,17,NA,89,NA,661,NA,1306,NA,2292,NA,6002,NA,5009,NA,2186,NA,2715,NA,2889,NA,1457
West Virginia,3622,NA,4175,NA,6863,NA,8351,NA,9124,NA,11944,NA,18065,NA,21855,NA,25174,NA,29308,NA,29766,NA,23211
Wisconsin,100,NA,11,NA,147,NA,1087,NA,1060,NA,2262,NA,2418,NA,2695,NA,2647,NA,1620,NA,2109,NA,1513
Wyoming,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
