State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nebraska,24.38,24.38,26.315,28.25,19.795,11.34,14.615,17.89,24.135,30.38,34.27,38.16,41.755,45.35,49.675,54,42.14,30.28,38.01,45.74,53.5,61.26,48.625,35.99,26.825,17.66,17.66
Nevada,65.7,65.7,50.525,35.35,28.45,21.55,27.91,34.27,29.995,25.72,39.63,53.54,68.91,84.28,74.44,64.6,47.935,31.27,32.595,33.92,39.025,44.13,43.92,43.71,36.6,29.49,29.49
New Hampshire,196.64,196.64,243.19,289.74,321.02,352.3,364.185,376.07,338.17,300.27,318.06,335.85,391.995,448.14,449.015,449.89,489.855,529.82,515.8,501.78,488.37,474.96,479.06,483.16,472.265,461.37,461.37
New Jersey,64.34,64.34,73.015,81.69,91.41,101.13,99.3,97.47,94.075,90.68,92.535,94.39,108.88,123.37,123.75,124.13,111.905,99.68,110.015,120.35,113.435,106.52,96.425,86.33,77.915,69.5,69.5
New Mexico,359.7,359.7,352.825,345.95,349.215,352.48,357.325,362.17,364.275,366.38,360.02,353.66,363.61,373.56,376.365,379.17,354.57,329.97,340.52,351.07,337.59,324.11,304.77,285.43,266.86,248.29,248.29
New York,47.22,47.22,50.665,54.11,61.52,68.93,65.505,62.08,58.425,54.77,55.48,56.19,71.025,85.86,89.85,93.84,88.825,83.81,91.385,98.96,92.09,85.22,76.43,67.64,61.58,55.52,55.52
North Carolina,38.04,38.04,39.21,40.38,43.68,46.98,51.875,56.77,55.435,54.1,55.26,56.42,65.26,74.1,84.53,94.96,93.945,92.93,104.145,115.36,116.89,118.42,112.75,107.08,99.195,91.31,91.31
North Dakota,7.98,7.98,16.995,26.01,32.2,38.39,37.555,36.72,50.53,64.34,82.08,99.82,94.825,89.83,82.79,75.75,54.19,32.63,47.735,62.84,56.85,50.86,33.28,15.7,12.25,8.8,8.8
Ohio,51.31,51.31,55.57,59.83,76.17,92.51,101.53,110.55,115.08,119.61,123.495,127.38,147.99,168.6,183.525,198.45,183.09,167.73,161.42,155.11,162.595,170.08,153.83,137.58,123.9,110.22,110.22
Oklahoma,18.47,18.47,18.305,18.14,19.73,21.32,26.165,31.01,33.395,35.78,37.34,38.9,54.915,70.93,73.38,75.83,62.555,49.28,47.68,46.08,48.465,50.85,41.805,32.76,28.23,23.7,23.7
