State,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alabama,340209,434820,703262,830404,1097555,1378241,2478603,1621658,1756694,4292149,1576164,2705088,3364020,3366051,10013292,6603494,7299636,11164245,6932946,7991840,10758185,7505984,6222928,5900428
Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,25000,11500,NA,9500
Arizona,43095478,50498970,56119195,60196215,63487933,71084051,76369567,71667955,102098144,71197755,74912419,50050541,73521493,42120098,11814859,13004136,36188248,11981790,21653817,21269021,25883551,33940737,39472827,49912271
Arkansas,81093,299358,500461,250670,406660,95970,66656,206546,259883,3370557,675900,568092,584291,544682,687707,469662,1609774,979798,1474941,688589,1636947,1146246,2062277,2563513
California,65465993,77382764,106476737,120515744,135241235,149585764,158129419,187365191,154815829,357319654,160862338,200174021,202366296,196283719,187024137,374092092,279000268,670892714,447308775,453789857,504331769,464085942,484134590,282405487
Colorado,742501,1038843,1441123,1609116,2297681,2911426,4532496,840826,4089158,908475,3520526,3124950,4349730,35720101,28901395,22474430,25096842,7089312,7703474,3609875,5501298,34151061,17966058,7769545
Connecticut,962000,962000,5240000,8864000,7996845,14745360,13523753,34299681,49795874,425602,467064,625020,724893,1790151,1532000,814471,905439,691561,749365,898141,757360,965252,979921,1718083
Delaware,NA,NA,257788,227754,416985,259460,278745,204264,470303,217297,824813,823800,271998,355619,0,215254,350084,554928,NA,350000,301199,0,759402,408287
District of Columbia,NA,NA,115483,153777,1137000,296000,NA,NA,NA,26000000,68173,306333,553117,1292817,1001576,9017309,3129739,6518923,9222996,8054887,7996668,9771946,8996064,9179978
Florida,4492603,8040309,6503752,12281216,15823643,17908512,48506954,66618908,79885936,95324232,92179982,85847445,61039381,53810764,45288956,47577911,54409542,56590365,57310985,50364881,34134557,38750909,31854181,38628501
Georgia,1820188,1758884,4315578,3372257,6568965,5763762,8189310,11099570,21413353,19884254,12117013,37116162,30338544,33747638,601519403,36636842,36046813,45762958,48273626,23338921,26807849,35366685,15186871,22056585
Hawaii,NA,NA,63000,NA,67928,146921,100800,942774,171877,300818,291730,406736,534364,809340,688321,900329,597704,359525,360393,107702,282858,171711,294912,117628
Idaho,NA,NA,NA,NA,NA,286070,162498,219967,140500,73828,198044,271656,95753,329068,425155,251686,249865,335243,336062,205051,290490,686681,37582,1422051
Illinois,1052260,1532602,2202587,3674529,5499201,16849698,9168890,8989721,9985244,9321472,15130591,13067192,13399991,16978270,18038159,49418743,109092425,840693119,190007846,207147084,226920456,165576430,291339552,399137982
Indiana,159300,164800,208000,1784762,1989637,1490660,2375532,2217882,3415630,4357324,5826933,4054712,10214642,13263024,9036448,10795033,9799352,8744715,10391728,18396753,17521547,12184048,12383761,12968117
