State,2006,2007,2008,2009,2010,2011,2012,2013,2014
United States,0.464,0.467,0.469,0.469,0.469,0.475,0.4757,0.4811,0.4804
Alabama,0.472,0.471,0.467,0.471,0.472,0.4735,0.4726,0.4752,0.4758
Alaska,0.417,0.409,0.403,0.402,0.422,0.4099,0.4232,0.4083,0.4175
Arizona,0.454,0.448,0.453,0.451,0.455,0.46,0.4608,0.4681,0.4676
Arkansas,0.46,0.462,0.459,0.461,0.458,0.4684,0.4632,0.4685,0.4714
California,0.466,0.469,0.473,0.467,0.471,0.4812,0.4822,0.4903,0.489
Colorado,0.45,0.452,0.457,0.453,0.457,0.4588,0.4579,0.4614,0.4584
Connecticut,0.48,0.481,0.486,0.48,0.486,0.4859,0.4915,0.4994,0.5005
Delaware,0.434,0.435,0.447,0.434,0.44,0.4404,0.4356,0.4513,0.4494
Florida,0.467,0.469,0.471,0.469,0.474,0.4811,0.4828,0.4843,0.4834
Georgia,0.461,0.464,0.467,0.469,0.468,0.477,0.4809,0.4837,0.4801
Hawaii,0.438,0.422,0.428,0.425,0.433,0.4301,0.4257,0.44,0.4325
Idaho,0.421,0.436,0.419,0.421,0.433,0.432,0.4302,0.4376,0.4541
Illinois,0.462,0.466,0.467,0.469,0.465,0.4718,0.4716,0.4824,0.4765
Indiana,0.432,0.429,0.437,0.434,0.44,0.4461,0.4417,0.4554,0.4455
Iowa,0.424,0.426,0.428,0.431,0.427,0.434,0.4328,0.4429,0.4433
Kansas,0.441,0.444,0.442,0.444,0.445,0.4442,0.4496,0.4589,0.4597
Kentucky,0.46,0.465,0.467,0.464,0.466,0.4709,0.4667,0.4721,0.4704
Louisiana,0.475,0.478,0.477,0.473,0.475,0.4836,0.4859,0.4914,0.4902
Maine,0.428,0.44,0.436,0.432,0.437,0.4509,0.445,0.4532,0.4593
Maryland,0.433,0.442,0.438,0.448,0.443,0.4466,0.4473,0.4555,0.4491
Massachusetts,0.461,0.467,0.471,0.468,0.475,0.4771,0.4813,0.4837,0.4863
Michigan,0.444,0.448,0.451,0.453,0.451,0.4612,0.4624,0.4641,0.4598
Minnesota,0.43,0.436,0.445,0.439,0.44,0.4436,0.4441,0.4462,0.4539
Mississippi,0.471,0.48,0.478,0.47,0.468,0.4735,0.487,0.4791,0.476
Missouri,0.449,0.45,0.448,0.45,0.455,0.4611,0.4608,0.4605,0.4628
Montana,0.426,0.443,0.449,0.431,0.435,0.4351,0.4502,0.462,0.4544
Nebraska,0.43,0.429,0.427,0.44,0.432,0.4467,0.4339,0.4445,0.4352
Nevada,0.434,0.437,0.431,0.433,0.448,0.4526,0.4516,0.4543,0.4427
New Hampshire,0.417,0.417,0.419,0.431,0.425,0.4347,0.4298,0.4387,0.441
New Jersey,0.458,0.464,0.462,0.465,0.464,0.4694,0.4718,0.48,0.4757
New Mexico,0.457,0.459,0.46,0.453,0.464,0.4821,0.4713,0.4759,0.477
New York,0.495,0.5,0.503,0.502,0.499,0.5033,0.5009,0.5098,0.5111
North Carolina,0.458,0.465,0.463,0.464,0.464,0.4716,0.4691,0.4765,0.4748
North Dakota,0.434,0.44,0.451,0.45,0.433,0.4448,0.4597,0.455,0.4664
Ohio,0.449,0.448,0.45,0.453,0.452,0.4594,0.4615,0.4652,0.4637
Oklahoma,0.46,0.463,0.458,0.46,0.454,0.4613,0.4643,0.4619,0.466
Oregon,0.444,0.442,0.447,0.443,0.449,0.4586,0.4565,0.46,0.4624
Pennsylvania,0.455,0.46,0.457,0.46,0.461,0.4611,0.4642,0.4696,0.4686
Rhode Island,0.442,0.457,0.46,0.457,0.467,0.4674,0.4647,0.4769,0.4827
South Carolina,0.462,0.459,0.464,0.462,0.461,0.4648,0.4684,0.4665,0.4687
South Dakota,0.439,0.423,0.446,0.452,0.442,0.4324,0.4335,0.4427,0.4468
Tennessee,0.468,0.471,0.471,0.467,0.468,0.4756,0.4732,0.4783,0.4811
Texas,0.474,0.473,0.474,0.474,0.469,0.4771,0.4767,0.4807,0.4827
Utah,0.41,0.409,0.411,0.414,0.419,0.4249,0.4244,0.4259,0.4283
Vermont,0.42,0.428,0.434,0.428,0.444,0.4308,0.4392,0.4537,0.4406
Virginia,0.456,0.456,0.46,0.456,0.459,0.4632,0.4661,0.4672,0.4658
Washington,0.443,0.444,0.442,0.439,0.441,0.4449,0.4498,0.4572,0.4542
West Virginia,0.447,0.454,0.453,0.463,0.451,0.4721,0.4638,0.4647,0.4546
Wisconsin,0.424,0.428,0.426,0.432,0.43,0.437,0.4401,0.4446,0.4397
Wyoming,0.413,0.437,0.441,0.415,0.423,0.4081,0.4166,0.4183,0.427
