Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
SMU13000000000000001,Georgia,526.7,553.5,637.3,701.8,760.2,753.1,725.4,732.1,759.4,779.3,769.6,806.6,872.3,905,929.7,915,959.6,994.2,997.5,989.1,1030,1051.1,1050.7,1092.7,1139.6,1186.8,1257.2,1337.9,1394.8,1455.7,1531.7,1557.5,1602.9,1695.2,1802.5,1827.5,1755.7,1839.2,1926.5,2050.1,2127.5,2159.4,2198.7,2201.5,2279.5,2448.7,2569.8,2672.4,2782,2875.9,2941.1,3026.6,2975.8,3029.1,3143.5,3299.7,3435.4,3559.6,3645.5,3771.2,3884.6,3978.6,3970.9,3896.7,3869.7,3922.7,4024.4,4111,4166.4,4122.3,3900.1,3860.4,3900.5,3954,4032.7,4145.2,4267.3,4372.3,4453.9,4540
SMU15000000000000001,Hawaii,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,164.8,177.1,188.8,193.8,195.3,199.6,207.8,219.4,232.1,241.7,255.4,275.8,293.7,301.5,312.7,327.5,335.9,342.8,349.2,359.4,377.3,394,404.1,404.8,399.4,406.2,412.7,425.8,438.6,460,478.1,505.5,528.4,539.1,542.8,538.8,536.1,532.9,530.7,531.6,531.3,535,551.4,555,556.8,567.6,583.4,601.6,617.1,624.9,619.2,591.5,586.9,593.4,606.3,618.6,627.2,636.9,646.1,653.3,656.6
SMU16000000000000001,Idaho,84.4,88.9,96.2,107,102.2,102.1,102.9,114.4,122.6,125,126.2,131.6,138.7,137.8,135.8,133.4,138.5,145.4,148,150.8,154.9,155.2,159.1,164.6,164.7,168.6,177.6,184.8,187.7,192.9,201.4,207.9,217.2,236.5,251.7,266.8,273,291.1,307.4,331.3,338,330,327.8,312.2,317.9,330.5,336,328.2,333.4,348.6,365.8,385.4,397.5,414.5,433.4,458.7,475.3,489,505.5,521.3,538.9,559.6,567.7,568.2,572,587.9,611.3,638.4,654.9,648.8,609.9,603.6,610.8,622.3,637.9,654.5,673.9,694.3,715,737.3
SMU17000000000000001,Illinois,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3181.1,3223.4,3103.1,3175.2,3312.6,3367.2,3461.6,3333.2,3426.8,3555.4,3575.3,3427,3516.1,3537.9,3502.5,3572.6,3614.4,3712.2,3880.4,4095.4,4209.7,4284.9,4376.1,4345.6,4296.4,4314.8,4467,4545.7,4418.9,4565,4655.5,4788.8,4880,4850.3,4732.3,4593.3,4530.6,4672.3,4755.3,4790.7,4928.3,5097.5,5213.9,5287.6,5233.2,5234.8,5330.4,5461.6,5590.9,5680.7,5765.7,5893.4,5955.8,6041.7,5992.7,5882.8,5809.9,5815,5861.2,5930.3,5978.2,5947.3,5655.7,5610.4,5675.6,5750.3,5804.4,5879.5,5960.6,6019,6063.4,6117.4
SMU18000000000000001,Indiana,817.4,875.4,1026,1120.6,1197.5,1169.9,1100.5,1108.1,1194.2,1226.9,1187.7,1272.4,1353.1,1360.4,1422.4,1319.9,1377.4,1405.8,1408.1,1333,1397,1431.4,1408.4,1461.4,1498.7,1545.7,1631.1,1737.2,1777,1817.4,1880.3,1849,1841.1,1921.9,2028.1,2031.4,1941.7,2023.8,2114,2205.5,2236.3,2129.5,2114.5,2028.1,2029.5,2122.3,2168.6,2221.8,2304.9,2395.6,2479.3,2522.1,2507.8,2555.1,2628.1,2714.2,2788.3,2816.5,2861,2920,2973.1,3003.5,2937.2,2907.3,2902.2,2933.7,2960.3,2979.2,2991.5,2962.8,2791.4,2798.6,2844.5,2901.6,2937.5,2980,3034.3,3077.3,3113,3144
SMU19000000000000001,Iowa,429.7,441.5,476.7,497.8,515.6,513.1,508.2,535.5,574.7,594,591.6,608.6,630.7,629.3,631.3,619.2,632.7,649.1,653.3,646.4,673.7,680.2,678.6,685.2,699.9,718.4,752.3,803.9,832.9,852.1,873.4,876.9,882.8,912.3,961.3,999,998.7,1036.9,1079.2,1119.2,1131.7,1109.9,1088.6,1041.9,1040.4,1074.7,1074.2,1073.8,1109.1,1156.2,1200.1,1226.4,1238.2,1252.6,1278.5,1319.9,1358.1,1383.4,1407,1442.8,1468.6,1478.5,1465.6,1447.3,1440.4,1457.3,1480.5,1504.2,1519.1,1524.4,1479,1469.3,1486.2,1508.8,1528.4,1546.9,1562.4,1570.8,1572.8,1584.2
SMU20000000000000001,Kansas,296,307,345.6,421.4,471.4,457,421.9,403,427,443.2,448.3,464.4,511.8,539,545.2,542.4,545.1,551.8,556,547.7,560.3,560.3,562.5,573.5,574.2,587.3,600.4,634.3,652.8,672.1,686.5,678.8,677.9,717.5,763.3,790,801.2,834.8,871,912.5,946.8,944.7,949.8,921.4,921.5,960.8,967.9,984.8,1005.1,1035.4,1064.2,1091.9,1096.7,1116.4,1134.8,1167.3,1199.6,1228.3,1270,1314.2,1328.4,1346.1,1348.8,1336.1,1313.3,1325.3,1333.7,1354.6,1381.1,1392,1344.6,1329.8,1339.6,1357.4,1372.1,1391.1,1400,1404.1,1403.6,1415.8
SMU21000000000000001,Kentucky,382.5,401.7,442,477.8,481,475.2,466.4,487.4,529.6,548.1,528.2,547.8,598.9,619.6,631.2,598.7,620.2,649,656.7,623.5,631.7,653.6,648,673.7,702.9,721.7,758.9,804,836.5,868.6,895.5,910,931.6,988.3,1038.6,1065.9,1057.6,1103.1,1148.2,1209.9,1245.3,1210,1196.4,1160.7,1152.3,1213.8,1250.4,1274.1,1328.2,1381.9,1433,1460,1464.3,1498.1,1537.3,1586.7,1632.3,1661.2,1700.7,1742.3,1785,1816.6,1794.9,1778.3,1772.8,1788.1,1814,1836.3,1856.2,1841.2,1758.8,1759.2,1782.9,1810.8,1830.2,1857.3,1884.5,1909.2,1921.1,1931.6
SMU22000000000000001,Louisiana,410.1,434.4,489.2,531.8,579.3,571.7,540.5,543.5,592.4,617.9,623.2,636.2,669.5,684.4,711.4,708.9,725.5,771.5,802.6,782.6,789,783,774,790.1,810.3,849.3,898.4,957.9,997.2,1020.5,1032.8,1033.6,1055.9,1128.6,1176.1,1220.8,1249.5,1314.4,1364.6,1463.5,1517.4,1578.9,1630.5,1607,1565.2,1601.5,1591.2,1518.5,1483.6,1511.6,1538.5,1587.7,1610.8,1624.8,1656.5,1719.9,1770.2,1807.5,1847.8,1887.3,1894,1917.7,1915.4,1895.6,1905.5,1917.5,1891.8,1853.3,1915.8,1938,1901.9,1885.6,1902.9,1926.9,1954,1984.5,1989.4,1974.8,1972.5,1981.5
SMU23000000000000001,Maine,212.3,216.5,251.8,287.2,297.1,282.2,258.4,259.8,262.8,265.5,252.1,253.9,271.8,276.4,275.5,270.3,275.1,279.4,273.6,265.1,273.3,277.5,277.1,279.5,279.6,285.1,295.4,309.3,316.9,323.2,330.1,332.2,332.3,343.7,354.8,361.5,356.9,375.3,387.8,405.5,415.9,418.3,419.3,415.5,425.1,445.7,458.4,477.4,501.1,527.1,541.9,535,513.5,511.9,519.4,531.6,538.1,542.4,553.7,569.1,586.3,603.5,608.1,606.5,606.8,611.7,611.7,614.7,617.7,617.2,596.3,593,594.7,598.1,601.7,605.2,609.8,618.5,624,628.5
