GeoFips,County,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15001,Hawaii,3602,4238,4122,4783,5103,6892,6567,6625,7105,7622,8351,10075,9859,10109,11129,11313,11607,12358,12774,13848,15590,16669,17299,17739,18228,18569,18767,19015,19228,20255,21115,22417,23254,24145,24927,26950,28860,30177,31420,32620,31096,31613,32756,33667,33672,35397,37623,38644,40188
15003,Honolulu,5191,5828,6202,6509,7007,7556,8224,8762,9213,10123,11113,12336,13436,14035,15020,15988,16846,17642,18606,20207,22168,23897,24815,26235,26875,27155,27618,27486,28309,28800,29890,31596,32555,33620,34905,36811,38954,41320,43492,45188,45184,45328,47021,48308,48577,50937,53027,54725,56728
15007,Kauai,3721,4088,4051,4506,4949,6741,6341,6559,7075,7502,8261,9961,9968,10459,11450,11624,12321,13004,13417,15535,17627,18584,19589,20769,21322,21418,22163,21862,22250,22813,23616,25224,26113,26668,28041,30467,32246,34087,35777,36845,35115,35293,36653,37892,38813,41005,42918,44400,46596
15901,Maui,3691,4338,4250,4703,5096,6661,6698,7032,7572,8030,8802,10241,10395,10869,12236,12521,13240,14056,14690,16002,18055,19209,19703,21209,21807,22127,22223,21979,22355,23162,24687,25806,26779,27810,28939,30934,32834,34792,36347,37230,34884,35646,37361,39715,39218,41181,43557,45062,47226
