State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,"95,774,815","98,717,417","101,919,769","104,672,260","106,612,307","108,433,823","110,033,390","111,364,961","113,301,722","115,365,649","117,571,352","119,572,890","121,415,073","123,580,466","125,590,949","126,353,223","128,316,676","129,594,965","131,631,771","133,224,612","135,170,529","137,513,666","139,149,746","140,782,578","142,290,948","143,476,018","144,533,203","145,353,496","146,412,744","148,281,630","150,398,720","151,868,856","153,430,551","153,489,783","153,924,427","154,255,288","154,753,915","155,111,317","155,577,921","156,477,107","158,313,112","159,872,239","161,235,630"
Alabama,1501284,1568504,1621710,1656358,1669289,1677652,1716324,1756953,1788133,1802728,1861327,1869005,1877663,1896227,1907367,1920555,1965516,2003905,2026692,2067444,2086463,2133573,2136177,2140296,2133223,2115401,2106161,2120225,2136458,2146025,2167809,2175612,2176489,2162999,2196042,2202670,2176337,2174000,2160842,2158293,2177209,2178243,2198837
Alaska,163570,173013,182111,183807,187405,196157,212806,231721,245452,252127,255131,248599,248861,255617,268422,276276,287216,295432,302371,304160,309772,313217,315870,317943,319511,321393,326401,331669,336743,344559,349691,350785,356109,359647,361913,365913,365519,365292,365383,363396,362231,360759,356886
Arizona,987060,1042116,1082446,1152471,1228001,1271678,1341767,1386057,1431770,1487075,1562728,1618230,1666073,1718674,1786186,1805012,1873606,1949027,2104125,2229131,2285205,2308569,2387027,2473013,2509883,2585284,2679421,2736000,2796269,2883226,2990441,3034016,3104863,3128110,3089705,3037017,3028878,3029425,3099884,3166615,3240590,3327949,3439755
Arkansas,891608,930260,952308,984461,998280,1023163,1024106,1031664,1042889,1047947,1067484,1092247,1111749,1128467,1131830,1129518,1154527,1177924,1218426,1238738,1248668,1242594,1241352,1255032,1258301,1253456,1270997,1271696,1300318,1345913,1365410,1369284,1375257,1358911,1353338,1362682,1342753,1322576,1316506,1331631,1340002,1347630,1351496
California,9899372,10382340,10905557,11279488,11579052,11829789,12152372,12293797,12637075,12982818,13335690,13743990,14141442,14552934,15138423,15126481,15304998,15261199,15256527,15246014,15422616,15790063,16144564,16416600,16867808,17128430,17257097,17277618,17383631,17530064,17654109,17893080,18178123,18215140,18336271,18415100,18523793,18624992,18714706,18851079,19044471,19205295,19398212
Colorado,1241819,1292960,1347646,1429392,1491648,1539314,1595941,1666793,1715898,1714199,1705842,1701342,1697028,1702489,1763683,1794287,1845245,1931142,2039524,2124988,2154732,2217553,2311582,2344282,2359515,2391048,2442992,2486229,2532361,2563900,2622243,2664677,2716625,2722982,2724417,2736079,2757222,2767153,2802528,2828876,2896771,2992412,3096358
Connecticut,1455740,1484885,1513504,1562654,1588290,1596437,1608804,1619703,1663064,1710255,1737273,1750361,1746643,1772352,1819775,1841104,1827707,1795716,1756296,1734064,1741727,1752540,1742196,1754565,1764126,1759829,1774152,1784260,1774193,1796976,1828651,1856209,1881454,1891077,1911712,1914775,1887419,1863337,1887428,1888878,1891275,1896938,1905312
Delaware,264791,272833,277334,280816,283955,287919,294391,296258,307185,316652,324857,332990,348445,359658,360223,361714,367162,376854,384827,385838,388134,387597,394889,398783,413500,421786,416783,415160,420384,432409,441184,443573,447041,437500,434419,443346,445572,442728,452187,465731,472242,476844,482465
Florida,3602310,3724245,3962454,4135752,4274346,4527425,4729458,4927448,5161635,5342656,5590997,5859869,6054325,6237743,6464169,6532429,6657112,6756534,6947512,7046151,7169990,7368111,7521469,7657159,7856895,8043714,8114409,8210696,8440428,8720970,9000204,9157124,9215524,9094825,9212066,9300542,9382993,9453747,9567295,9608398,9825693,10093451,10234770
Georgia,2273932,2332184,2410909,2467596,2533586,2600075,2655895,2692349,2769779,2877663,2982631,3063215,3144406,3208446,3283912,3278409,3399695,3480778,3593963,3682926,3810136,3960492,4072762,4153499,4222253,4262041,4327691,4394437,4451800,4586420,4710775,4815818,4879253,4787749,4696676,4748754,4787367,4756157,4738946,4775453,4921491,5058960,5107656
Hawaii,409847,416882,418444,425536,438848,450177,458778,471578,472988,479158,491387,510628,517775,527490,550921,571588,584253,586404,585215,586481,595598,600954,601583,602907,605947,610630,600924,603122,610912,626912,638260,638395,639691,631690,647249,660253,647185,651557,665465,673967,682961,683618,678734
Idaho,373138,397769,416943,429329,428739,430350,442756,453993,462704,466588,471760,470758,479124,489473,492490,508081,531126,554106,587134,600704,616791,633725,649435,651207,659824,677665,684591,690005,703062,731670,747377,754438,755153,757131,761056,765178,769256,770833,779986,795983,815077,834698,857049
Illinois,5149989,5281924,5422862,5448408,5554539,5592209,5614249,5603113,5611290,5672208,5694686,5756424,5849194,5994211,5947011,5944289,6027916,6072484,6108648,6174337,6247845,6300928,6347005,6467988,6493466,6457922,6349239,6300221,6325447,6397808,6526273,6665601,6657227,6618658,6625321,6586893,6581867,6549473,6513861,6510815,6549847,6489612,6469668
Indiana,2434546,2490170,2590145,2636428,2625544,2617959,2599391,2583412,2631866,2710413,2748410,2757863,2805683,2856099,2814608,2792829,2857384,2948307,3064328,3135172,3109669,3120608,3123160,3124851,3126379,3140899,3171168,3182988,3167797,3205436,3235110,3207687,3232097,3193989,3175192,3181991,3169835,3188406,3224772,3266520,3328893,3336655,3381713
Iowa,1338074,1384889,1418036,1421489,1435156,1426591,1424383,1422636,1415875,1413046,1433643,1452988,1491110,1508708,1451750,1474789,1511801,1559713,1579261,1587051,1608348,1602935,1595942,1596414,1590453,1612964,1637909,1606798,1601788,1629764,1657584,1660677,1679293,1687411,1678281,1662376,1653141,1674190,1701445,1701514,1694140,1678349,1686840
Kansas,1071376,1105749,1139699,1169991,1187425,1187080,1193568,1188919,1203358,1228017,1241711,1262821,1276496,1284372,1272519,1279949,1308836,1333092,1348851,1349748,1358124,1381702,1416392,1425599,1406580,1390620,1413014,1437027,1463707,1465640,1467095,1483458,1499676,1518207,1500764,1491087,1485220,1485917,1492158,1490689,1485321,1478713,1482220
