GeoFips,State,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
45000,South Carolina,70545.08877,71684.19426,73904.22658,73806.18594,75426.83638,74311.93798,76573.04808,78877.98079,79084.72233,80010.57733
46000,South Dakota,71424.06423,70988.92449,72506.47245,75935.24926,73823.66957,73654.76174,74881.89297,77484.07616,76932.12939,77053.80088
47000,Tennessee,69615.14488,72239.82444,74815.17741,75891.21997,76990.78041,75635.47984,76762.94133,78701.57629,78511.39125,78162.79351
48000,Texas,73340.22881,70851.94646,73700.5662,76483.85389,78115.73756,76632.05042,78753.51739,78401.68063,76025.65635,77257.7757
49000,Utah,58718.9527,57851.00448,59511.82102,60748.75062,62332.91912,61431.3799,63100.42446,65864.03207,66192.71153,66778.73367
50000,Vermont,63803.9456,64364.61354,66055.18349,67298.39861,66862.25282,66313.12216,66196.74638,67810.95643,69002.87685,68635.89556
51000,Virginia,75682.23652,75715.92892,78181.62,79893.50941,81269.0477,79157.60401,80767.47594,82857.75544,82650.33228,83086.99312
53000,Washington,76246.54512,75355.00123,77577.34173,79396.98058,81535.98809,79951.79526,82362.78698,84910.25454,86197.07631,87175.23806
54000,West Virginia,76644.38797,78505.13549,78925.41402,80397.78446,80231.72679,79123.46394,81003.84415,82471.5168,83662.79037,85909.52245
55000,Wisconsin,70357.93113,71915.06064,73081.63755,74044.71771,75330.09183,74191.65934,75221.38479,77620.29827,78166.09371,79399.64899
56000,Wyoming,73653.59213,70117.14365,73190.60196,76751.90813,81336.21037,79156.69752,81797.39776,83077.12767,79893.03604,81216.21824
