Series ID,State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LAUST200000000000003,Kansas,0.042,0.039,0.031,0.032,0.044,0.043,0.063,0.059,0.049,0.051,0.053,0.048,0.045,0.042,0.043,0.044,0.045,0.05,0.049,0.044,0.043,0.038,0.035,0.033,0.036,0.042,0.051,0.055,0.055,0.05,0.044,0.042,0.046,0.069,0.071,0.065,0.058,0.053,0.045,0.042,0.04,0.037,0.034
LAUST210000000000003,Kentucky,0.054,0.048,0.051,0.055,0.08,0.086,0.108,0.114,0.093,0.092,0.094,0.085,0.076,0.064,0.06,0.073,0.069,0.062,0.054,0.054,0.055,0.053,0.046,0.045,0.042,0.052,0.057,0.061,0.054,0.059,0.057,0.054,0.064,0.103,0.102,0.094,0.082,0.08,0.065,0.052,0.051,0.049,0.043
LAUST220000000000003,Louisiana,0.067,0.071,0.068,0.066,0.069,0.084,0.103,0.115,0.101,0.116,0.128,0.121,0.108,0.08,0.062,0.073,0.08,0.076,0.078,0.07,0.066,0.06,0.057,0.051,0.053,0.057,0.061,0.064,0.059,0.072,0.045,0.043,0.049,0.068,0.08,0.078,0.071,0.067,0.064,0.063,0.061,0.051,0.049
LAUST230000000000003,Maine,0.087,0.083,0.064,0.068,0.076,0.074,0.084,0.083,0.062,0.055,0.053,0.044,0.036,0.04,0.053,0.075,0.073,0.073,0.07,0.06,0.052,0.051,0.045,0.04,0.034,0.038,0.043,0.05,0.046,0.049,0.046,0.047,0.055,0.081,0.081,0.079,0.075,0.066,0.057,0.045,0.038,0.034,0.034
LAUST240000000000003,Maryland,0.066,0.063,0.055,0.058,0.066,0.073,0.083,0.07,0.054,0.046,0.046,0.044,0.043,0.038,0.045,0.061,0.068,0.062,0.053,0.05,0.05,0.05,0.044,0.036,0.036,0.04,0.044,0.044,0.043,0.041,0.039,0.035,0.042,0.07,0.077,0.072,0.07,0.066,0.058,0.052,0.045,0.043,0.039
LAUST250000000000003,Massachusetts,0.096,0.078,0.062,0.055,0.056,0.065,0.077,0.068,0.048,0.04,0.039,0.032,0.033,0.042,0.063,0.086,0.085,0.07,0.06,0.053,0.044,0.039,0.033,0.032,0.027,0.037,0.053,0.057,0.051,0.048,0.049,0.046,0.055,0.081,0.083,0.072,0.067,0.067,0.058,0.047,0.039,0.038,0.033
LAUST260000000000003,Michigan,0.094,0.082,0.07,0.078,0.123,0.124,0.154,0.144,0.112,0.1,0.088,0.083,0.075,0.071,0.076,0.092,0.09,0.072,0.06,0.053,0.049,0.043,0.039,0.037,0.036,0.052,0.063,0.072,0.07,0.068,0.07,0.07,0.08,0.137,0.126,0.104,0.091,0.089,0.073,0.054,0.05,0.046,0.041
LAUST270000000000003,Minnesota,0.058,0.053,0.039,0.042,0.058,0.058,0.079,0.08,0.063,0.06,0.055,0.051,0.043,0.043,0.048,0.051,0.051,0.05,0.041,0.037,0.04,0.033,0.027,0.028,0.032,0.038,0.045,0.049,0.047,0.041,0.04,0.046,0.054,0.078,0.074,0.065,0.056,0.049,0.041,0.037,0.039,0.034,0.029
LAUST280000000000003,Mississippi,0.066,0.073,0.069,0.057,0.074,0.085,0.111,0.121,0.105,0.104,0.114,0.1,0.084,0.078,0.076,0.085,0.081,0.066,0.063,0.062,0.06,0.057,0.053,0.051,0.054,0.055,0.066,0.063,0.062,0.075,0.065,0.061,0.066,0.095,0.104,0.1,0.09,0.087,0.078,0.065,0.058,0.051,0.048
LAUST290000000000003,Missouri,0.062,0.06,0.049,0.048,0.072,0.076,0.092,0.099,0.072,0.065,0.062,0.063,0.057,0.055,0.058,0.066,0.062,0.062,0.051,0.047,0.048,0.043,0.042,0.033,0.036,0.046,0.054,0.056,0.059,0.054,0.048,0.051,0.061,0.093,0.096,0.085,0.07,0.067,0.061,0.053,0.046,0.038,0.032
