State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Louisiana,1424855,1485953,1555535,1613069,1664309,1699027,1675507,1688598,1754800,1756263,1726694,1711944,1712758,1731388,1753951,1768610,1767337,1753214,1790627,1821954,1857715,1899922,1932134,1935457,1929056,1911818,1881146,1888974,1916536,1921385,1899981,1944038,1982381,1923884,1919852,1911021,1933137,1960539,2014189,2022145,1992625,1995944,2000791
Maine,435603,440273,452722,463851,467389,472455,475163,491367,513581,521602,533048,559295,576895,589826,599506,596503,597355,583220,578254,599534,622580,623530,623793,642085,655349,648545,645935,649571,654161,663132,669554,667781,663158,639954,638630,644085,650117,658522,657188,653242,665062,674750,675221
Maryland,1789446,1848971,1932083,1989785,2007042,2013470,1994763,2042929,2119800,2174967,2239999,2303385,2364139,2427861,2474509,2456823,2471212,2494151,2540242,2574394,2602334,2629577,2642210,2667341,2703284,2724184,2742501,2754523,2766475,2803487,2849354,2867348,2874987,2820245,2838492,2872084,2902307,2923498,2941562,2980007,3019150,3057673,3071652
Massachusetts,2460095,2548352,2638898,2695749,2706635,2751193,2756493,2794466,2892743,2930523,2946878,2993991,3038826,3044177,3004470,2919503,2912028,2952583,3007359,3044696,3097563,3176134,3230442,3247012,3240245,3255134,3250085,3226981,3220838,3220089,3246316,3268096,3261408,3189010,3190818,3217754,3252531,3276792,3363438,3417789,3479435,3557038,3678402
Michigan,3618361,3772280,3914127,3967671,3773197,3768194,3627584,3674943,3851581,3926319,4010764,4136577,4211759,4262061,4255772,4172673,4258246,4400201,4519538,4558922,4638837,4743163,4824324,4925999,4976322,4854630,4702399,4667103,4705591,4738902,4721085,4658939,4529289,4233803,4194041,4198349,4246658,4308030,4417024,4501006,4606692,4660709,4698845
Minnesota,1744171,1815013,1895141,1959937,1983321,1998992,1983510,2001040,2064312,2094586,2117295,2163788,2208614,2250011,2284147,2302626,2342262,2391535,2452054,2506965,2547696,2591975,2638721,2680029,2724118,2737961,2731080,2734287,2745615,2762733,2772115,2773704,2766342,2713426,2721194,2755264,2781141,2811762,2848788,2887132,2916354,2952960,2980885
Mississippi,906134,922787,941880,969475,978337,969271,946018,932775,963398,1007010,1021251,1035177,1049127,1074636,1094036,1082959,1094539,1134735,1170396,1180514,1188212,1200208,1207745,1220702,1248240,1222500,1201191,1219145,1232187,1218825,1205906,1224059,1220991,1148930,1170879,1208747,1198196,1163752,1156341,1184274,1205192,1215298,1214992
Missouri,1990253,2084319,2143700,2171188,2139848,2144518,2111744,2124824,2215940,2299301,2377984,2420322,2436775,2467177,2462267,2471095,2487204,2517067,2630692,2728231,2769622,2800544,2794971,2809325,2853891,2862838,2839467,2850987,2838872,2847006,2882757,2879647,2842845,2766711,2763535,2789224,2815275,2817435,2859966,2920761,2940314,2946340,2954808
Montana,310614,326918,345148,352135,352700,358686,355711,362488,371262,371962,369942,371312,377736,385154,379100,377804,389391,397102,409630,418081,425468,428555,434868,439993,444137,444909,446640,449266,457423,464907,476377,484189,483347,466713,463998,466403,476174,483071,488336,495975,500511,504253,508588
Nebraska,696682,715745,730851,741839,739672,742310,740657,744057,756844,764692,767768,774141,784348,792809,805708,814020,823384,840575,862936,878414,889438,898310,907202,911444,918370,921003,919401,926315,932515,935906,939874,949494,956759,945648,947360,959059,974428,979937,977617,976997,978533,982442,991688
