GeoFips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,United States,1.15219E+13,1.20383E+13,1.26105E+13,1.3131E+13,1.32621E+13,1.34931E+13,1.38791E+13,1.44064E+13,1.49125E+13,1.53383E+13,1.5626E+13,1.56047E+13,1.52088E+13,1.55988E+13,1.58407E+13,1.6197E+13,1.64954E+13,1.68998E+13,1.73867E+13,1.76592E+13,1.80507E+13,1.85664E+13
1000,Alabama,1.43646E+11,1.48596E+11,1.54094E+11,1.5656E+11,1.56404E+11,1.6087E+11,1.64992E+11,1.75508E+11,1.81386E+11,1.84796E+11,1.85869E+11,1.85298E+11,1.78021E+11,1.82263E+11,1.85055E+11,1.86299E+11,1.88165E+11,1.86335E+11,1.88716E+11,1.89614E+11,1.93053E+11,1.96876E+11
2000,Alaska,42262300000,41157300000,40721700000,39516900000,40973800000,42881000000,42150500000,43735300000,45051600000,48517100000,51114000000,50884000000,55837600000,54151400000,54645700000,57670100000,54750000000,53209000000,53585000000,52608000000,52492000000,52311000000
4000,Arizona,1.68551E+11,1.83138E+11,1.98096E+11,2.07793E+11,2.12656E+11,2.19311E+11,2.33342E+11,2.43246E+11,2.63061E+11,2.77288E+11,2.84907E+11,2.77477E+11,2.55081E+11,2.57485E+11,2.63211E+11,2.68289E+11,2.70149E+11,2.73407E+11,2.79435E+11,2.88682E+11,2.9721E+11,3.09067E+11
5000,Arkansas,82755500000,84794500000,89317100000,90206300000,89922700000,92884900000,96544800000,1.0121E+11,1.04653E+11,1.0694E+11,1.06155E+11,1.05791E+11,1.02528E+11,1.05923E+11,1.08295E+11,1.08745E+11,1.11779E+11,1.12706E+11,1.13177E+11,1.13788E+11,1.14851E+11,1.15933E+11
6000,California,1.37865E+12,1.47039E+12,1.58238E+12,1.70994E+12,1.70278E+12,1.74365E+12,1.82542E+12,1.90232E+12,1.99014E+12,2.07218E+12,2.10362E+12,2.11114E+12,2.02649E+12,2.05814E+12,2.09159E+12,2.1445E+12,2.22087E+12,2.30993E+12,2.42614E+12,2.49884E+12,2.58757E+12,2.67794E+12
8000,Colorado,1.84193E+11,2.01076E+11,2.163E+11,2.32752E+11,2.36383E+11,2.36786E+11,2.3854E+11,2.40798E+11,2.5084E+11,2.56124E+11,2.64577E+11,2.67713E+11,2.6238E+11,2.64791E+11,2.68681E+11,2.7352E+11,2.82534E+11,2.9501E+11,3.07912E+11,3.15425E+11,3.25129E+11,3.36365E+11
9000,Connecticut,1.90791E+11,1.96248E+11,2.0223E+11,2.1637E+11,2.20287E+11,2.19959E+11,2.2224E+11,2.37133E+11,2.42485E+11,2.51581E+11,2.61129E+11,2.59722E+11,2.48041E+11,2.47461E+11,2.4202E+11,2.43801E+11,2.41081E+11,2.37558E+11,2.41916E+11,2.41447E+11,2.39884E+11,2.42171E+11
10000,Delaware,45230700000,49742700000,53861800000,56109000000,58881600000,56814000000,57957300000,60682300000,59973500000,61496800000,61235100000,58656400000,60404200000,60016100000,62017400000,61975800000,59157100000,63693300000,65635000000,63718000000,63651000000,63855000000
12000,Florida,5.60888E+11,5.90135E+11,6.16625E+11,6.42693E+11,6.5864E+11,6.85304E+11,7.15436E+11,7.57054E+11,8.06339E+11,8.34346E+11,8.35867E+11,8.03218E+11,7.58264E+11,7.66199E+11,7.63746E+11,7.69309E+11,7.8409E+11,8.04322E+11,8.35928E+11,8.64029E+11,8.85906E+11,9.16975E+11
