Fips,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1000,Alabama,104309,109776,115704,120428,124885,130180,136270,148769,157914,165131,170399,173754,169370,176287,182197,187534,193374,200414
2000,Alaska,25763,24067,24727,26932,28942,29808,32125,35510,40277,44867,49285,54737,49564,52490,56759,58485,57132,56647
4000,Arizona,132795,143542,156118,166108,172634,179892,192663,204659,227047,248075,262214,258853,242918,248110,256514,267188,274328,286554
5000,Arkansas,60248,62695,67087,69111,71128,74243,78882,85315,90112,95727,99210,102383,100430,105195,109426,111950,116403,120035
6000,California,1082051,1158822,1258697,1377014,1394863,1449536,1535202,1643908,1760508,1868969,1951997,1997225,1915723,1964588,2035315,2124143,2215726,2305921
8000,Colorado,136296,149057,162273,178331,185264,189464,195704,205347,222415,233142,245169,255395,249975,257810,266450,276040,286812,305871
9000,Connecticut,140127,147616,153781,166995,172336,174856,181750,198921,208154,220994,235299,231569,226572,231060,233027,238939,242878,250569
10000,Delaware,33911,35955,39053,41677,43314,43046,46092,50618,52901,55826,56805,54329,56155,57369,59125,59788,60260,63404
12000,Florida,403677,431374,459431,490538,519024,550486,585729,637113,700222,748021,773682,754355,723187,731278,737122,766374,799616,838939
13000,Georgia,242669,264225,287670,304942,316351,323644,335367,353025,376626,393920,411730,411923,405469,409747,421938,436670,452897,474696
15000,Hawaii,37915,37627,39177,41247,42789,45185,48559,53306,58123,61684,64775,66449,65004,67451,69747,72307,74156,76171
16000,Idaho,29686,31152,34390,38416,37812,39185,41125,44445,47990,51821,55010,56278,54015,55576,56984,58030,60641,63235
17000,Illinois,422741,443392,465795,492922,503969,514227,531957,561117,588847,623535,648647,646395,641143,653597,679722,709257,715239,736285
18000,Indiana,172949,187005,195668,205807,207104,214788,225933,240428,247048,258525,271444,274724,262854,282262,290862,298797,307614,318085
19000,Iowa,83743,85833,88936,95021,96093,100359,106935,118710,124021,128346,137377,136747,136744,141552,149410,159293,164409,169707
20000,Kansas,75239,79114,82944,87446,90269,92953,97651,101343,106864,113738,122276,126028,121975,127967,136789,139669,140428,144407
21000,Kentucky,105103,109859,115931,115126,118975,123928,128804,135994,144174,152394,155486,158665,155911,165550,172178,177342,181811,187788
22000,Louisiana,118073,121548,127230,134251,140264,141797,157562,172623,200436,207944,209676,218332,210591,232694,241030,248850,245000,251672
23000,Maine,30675,32177,34350,36684,38317,40050,41858,44617,46052,48175,49269,49932,50263,51336,51571,52654,53244,54324
24000,Maryland,160965,171402,181987,192934,206296,218525,229840,247461,264729,278216,290139,297600,303140,314107,323204,330593,336365,346857
25000,Massachusetts,237390,249401,264906,289554,296348,302972,315339,329640,344145,359256,377987,384032,381866,398347,412958,429841,437424,455732
26000,Michigan,301805,315171,338889,351996,351014,365288,377462,383545,396268,397295,402390,385208,365191,385800,398847,414055,431680,448243
27000,Minnesota,157206,167915,176966,192948,198343,206098,218061,231904,244800,251221,259493,265285,259482,271973,284778,294729,306593,317237
28000,Mississippi,58657,61220,64142,66171,67662,69443,73982,78169,82274,87302,91919,94662,92234,95258,97202,101642,102822,104753
29000,Missouri,163749,169799,177924,187707,191750,196807,205338,215895,225268,234124,241909,249023,250059,256576,257711,265505,272810,279835
30000,Montana,19196,20208,20834,21884,23063,23941,25788,27979,30425,32635,35676,36567,35314,37315,40200,41499,42722,44135
31000,Nebraska,50719,52548,54427,57551,60217,62305,67656,71322,74415,78581,82918,85699,87084,91676,99431,102617,107088,111007
32000,Nevada,59468,63934,70376,75777,80134,84643,90419,103446,116764,125387,131137,128807,119132,119632,122836,125537,128037,135038
33000,New Hampshire,37992,40169,41229,44135,45163,47510,50276,53148,56123,58492,59958,59941,60638,62849,64243,66427,67485,70358
34000,New Jersey,308631,320905,336975,360703,373205,388030,404905,423953,444973,466524,481936,493847,484759,494262,498845,522248,533966,551828
35000,New Mexico,52460,50519,53210,55597,56889,58845,63576,70121,74063,77536,80443,83969,80855,83709,86508,87747,89110,91885
36000,New York,714244,739583,785301,824386,864377,879623,898559,954249,1024329,1083194,1120861,1108128,1143081,1207647,1230094,1299460,1325405,1395488
37000,North Carolina,232815,244146,263633,276963,291540,301781,313917,332598,357711,386354,395708,410058,410015,419545,432795,443670,458282,481876
38000,North Dakota,15815,16858,17042,17991,19002,20322,22295,23396,24709,26491,28670,32128,32008,35308,40870,49769,51866,55978
39000,Ohio,342183,360273,374613,391503,396626,411997,426295,450842,468197,482227,494917,495607,478374,494792,521941,544888,557028,576056
40000,Oklahoma,79527,81533,85368,92083,97682,99532,106105,114160,125106,136804,144171,157322,143359,151804,162196,169638,176101,183174
41000,Oregon,101039,105525,107980,118086,117362,121998,128009,142516,147583,163033,170522,179675,180332,190844,199883,203836,204109,212807
42000,Pennsylvania,355574,372396,389766,409473,428099,440514,458434,481879,505091,529969,553105,565328,565931,585805,604350,621398,636833,658290
44000,Rhode Island,28890,30529,32194,34405,36117,38231,40672,43513,45250,47659,47948,47388,47856,49279,49906,51403,52555,54492
45000,South Carolina,98354,104676,111539,116812,121361,126044,132485,136875,144754,152802,160949,162838,161291,165045,171124,175687,181345,189278
46000,South Dakota,19233,20445,21488,23267,24399,27334,28733,30789,31552,32455,34969,36854,36401,38210,42495,43291,44653,46169
