State,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,25771999,27447219,30002179,32724348,36293780,39976210,43123947,45648449,47629524,49363160,51735855,54729815,58208247,61821870,62049899,63241614
Alabama,442088,416594,428122,448294,503470,550756,572279,589860,601881,655245,707801,761982,829363,881652,808220,812776
Alaska,76358,94280,108099,119199,128875,142413,146465,153721,163034,130637,128242,131753,141190,140736,135751,133170
Arizona,405999,439286,465777,500548,531106,617978,650961,720184,765434,782671,831192,873063,901697,951223,987123,1013898
Arkansas,117108,112379,131868,142310,140813,183908,182958,209518,237233,239994,246621,239407,255537,270576,275503,278640
California,3392094,3665157,4067820,4428903,4887918,5357900,6012871,6264908,6490107,6733546,7026354,7406686,7579847,7929264,8103323,8064364
Colorado,489419,507673,544584,572950,645291,694862,771359,825048,820565,872576,924088,1058283,1128649,1240906,1249413,1200521
Connecticut,406618,419421,468708,499095,538488,594507,649245,669923,691998,691408,731711,752793,866600,922694,924357,1042379
Delaware,72779,76286,78126,79985,88319,104650,114663,115751,122001,125663,133231,133810,161927,178496,176743,187730
Florida,712704,788743,851932,985628,1085764,1204592,1306810,1448634,1522099,1557504,1591774,1663542,1778300,1896576,1930189,1921895
Georgia,804151,840953,926749,989024,1076706,1176523,1222150,1274410,1302570,1388976,1521486,1565574,1611447,1657919,1711596,1789065
Hawaii,148007,156810,161300,156976,172664,184602,241346,240247,257478,274373,278751,300302,314652,325915,328168,338992
Idaho,72395,71674,73726,82496,93323,105039,116757,119871,111465,114224,113482,120721,122754,139392,142976,139444
Illinois,1030955,1101602,1170905,1281256,1441156,1614270,1713282,1771107,1824223,1867003,1972752,2113124,2146061,2264226,2269727,2407183
Indiana,426328,460418,509141,584418,650718,725752,841141,759622,823501,893808,954621,1005216,1048218,1141830,1150327,1200697
Iowa,358613,375300,418263,439810,485756,498669,531770,548301,572623,586786,527769,562569,689831,705684,695465,693052
