State,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Ohio,1863371,1921720,1736435,1809958,1681723,1879784,"5,563,023",3687855,2164645,3051142,2380350,2967071,2794181,2961450,2723931,3660876,2580353,4459527,4098787,3554656,3436331,2425734
Oklahoma,126054,117908,142117,158691,138258,160356,176173,165818,232217,324002,276126,570249,498478,400746,271137,253227,260753,369962,429597,462536,449813,262352
Oregon,226514,229375,279164,283411,308179,319587,348626,408099,468167,522640,504034,514212,504810,650069,510101,506417,581074,635230,675292,711081,632076,528961
Pennsylvania,1794428,2566507,1983386,2394246,1921246,1893723,1886497,1907139,2396146,2772116,3244975,3989278,3731084,3677377,3299694,3359930,3279378,4297552,4963404,4512982,3724886,3295421
Rhode Island,386339,"495,591",433825,"514,632","583,158",403844,385759,391717,418037,437455,501504,"565,592","642,064","888,779","622,502","627,776","643,721","679,453","669,846","610,133","557,413",486437
South Carolina,172130,173173,198537,173217,186659,166607,188704,215941,249938,314287,371006,454018,384307,492735,373812,421688,453003,661614,662206,496684,555367,397477
South Dakota,23886,26896,26481,26501,35041,41955,46003,38951,38803,54941,58679,54788,70036,69982,75926,61925,76379,79313,74962,61087,63168,56607
Tennessee,666025,674420,671291,582499,558572,566242,621184,684712,824300,1039488,1157221,1130563,1381987,1425989,1489072,1907931,1689925,2081442,2104843,1898595,2111931,2118645
Texas,2872956,2546214,3654279,4068928,3493457,3640162,4112458,3853339,3021013,3189399,3553852,5414373,5506721,5187008,5914690,6692848,5029588,6031095,6896125,5475367,5619673,5234156
Utah,313996,298829,324888,368829,351719,319851,393350,305019,305980,421569,457925,803382,"1,183,694",1058179,845844,991251,699929,1168540,"1,708,887","1,756,403",972325,918647
Vermont,51314,62143,48465,52950,47089,49885,57656,61707,72030,112704,136374,201149,"417,091",262601,105544,108366,120985,151369,142251,124444,103372,102954
Virginia,"3,231,339","3,402,556","3,726,871","3,392,184","4,576,317","4,849,753","4,671,236","5,750,372","4,961,535","4,995,665","6,175,919","6,709,197","7,298,269","8,746,472","8,994,337","9,088,208","9,282,197","9,381,331","9,111,678","8,287,063","8,129,999","6,487,535"
Washington,900492,878074,963816,1131625,1152903,1226154,1246867,1306757,1345649,1725258,2023273,2442177,2311260,2641154,"4,087,134","4,751,106","4,339,544","4,156,709","3,915,467","4,931,381",2757414,"3,433,474"
West Virginia,166380,206208,212864,287939,254384,193061,243344,227023,235677,376105,254239,383400,315693,"807,540",301416,219100,224575,262617,312779,239807,263276,171449
Wisconsin,307651,350775,358252,338475,331373,332214,332956,377801,420839,487948,595516,658448,645875,651821,635675,671413,660915,885729,795573,742243,734288,654033
Wyoming,41369,48234,36753,35403,37477,28368,33549,35219,35059,36986,39585,42979,47596,37538,36169,36583,47358,65152,36720,37193,75589,41207
