State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,233021,213737,216757,203058,213296,201343,196437,244102,239374,234034,234344,224695,225842,229789,220157,213084,218118,226708,232918,231769,236350,241486,235669,233356,230199,235556,232799,232411,237945,240919,228315,225030
Alabama,3387,3130,2939,2780,2663,2484,2557,3883,3216,3357,3333,3155,3141,3213,3073,3154,3217,3350,3321,3299,3398,3375,3291,3030,2885,3045,3070,2904,2979,2869,2917,2689
Alaska,570,527,574,535,483,537,562,574,678,619,584,538,488,643,615,508,605,571,599,593,603,657,557,643,567,635,573,588,540,598,596,580
Arizona,2864,2852,3127,3246,3044,3228,3068,3628,3695,3666,3665,3483,3558,3590,3563,3457,3551,3996,4045,4115,4120,4379,4373,4314,4469,4513,4512,4499,4473,4901,4479,4457
Arkansas,2248,2265,2308,2007,1835,1764,1806,2435,2099,1913,2043,1818,1859,2086,1939,1983,2081,2164,2175,2007,2050,2112,2169,2041,1939,2096,2046,1970,2047,2073,1886,1877
California,29393,26671,28431,28459,28560,26691,24804,28406,29736,30144,30186,27914,27643,27882,26162,24296,23451,24792,25891,26636,26963,28413,28074,28515,28839,29970,29898,29005,30060,31587,29184,28861
Colorado,3920,3948,4170,4027,3830,3615,3407,4057,4052,3774,3941,3900,4011,4116,4352,4313,4626,5075,5015,5049,5079,5444,5262,5368,5369,5340,5337,5125,5416,5472,5226,5247
Connecticut,3645,3132,3087,2943,3109,3018,2902,3566,3708,3572,3674,3509,3442,3092,2718,2744,2786,2810,2913,2747,2719,2970,2707,2715,2566,2629,2390,2405,2497,2523,2275,2341
Delaware,647,527,544,509,547,511,521,667,680,707,739,655,759,726,673,682,725,762,814,769,736,821,834,878,825,754,801,713,736,728,648,728
Florida,12480,11734,11959,12427,12613,12807,12278,14431,14657,14745,15108,15269,15138,15720,15081,15175,15488,15685,15259,15236,15275,16055,16316,16139,16519,17486,18260,19773,18289,18044,17241,16997
Georgia,5518,4969,4868,4748,4777,4805,4895,6429,6314,6105,5946,5725,6010,5955,6001,6048,6362,6709,6734,6891,7002,7598,7396,7391,7274,7459,7447,7236,7337,7239,7291,7200
Hawaii,1090,1043,1072,1057,1123,1037,1019,898,1110,1016,1048,1107,1025,1024,1033,892,882,845,877,924,872,955,907,948,938,1037,993,944,938,946,938,843
Idaho,1088,1070,1093,982,894,826,828,1032,1069,1026,997,1015,1030,1240,1122,1222,1196,1377,1353,1429,1494,1479,1519,1520,1559,1554,1561,1581,1708,1771,1609,1554
Illinois,10829,9352,9091,8977,8742,8907,8214,10482,10413,9945,10324,9719,9936,10087,9707,9449,9656,9845,10121,9958,9988,10297,9676,9658,9175,9387,9533,9377,9481,9550,9071,9315
Indiana,4951,4106,4299,3963,3638,3677,3880,5230,4953,4697,4610,4315,4600,4827,4659,4442,4537,4591,4599,4483,4506,4678,4422,4264,4114,4349,4060,3933,4014,4214,3920,3959
Iowa,3539,3067,2752,2652,2483,2212,2089,3090,2481,2316,2425,2254,2392,2420,2362,2235,2277,2486,2477,2351,2545,2451,2354,2360,2187,2302,2222,2294,2335,2454,2198,2214
Kansas,2975,2520,2374,2279,2371,2227,2189,2899,2470,2335,2292,2160,2232,2195,2191,2227,2228,2262,2328,2422,2417,2577,2373,2356,2300,2334,2303,2241,2253,2313,2144,2061
Kentucky,3152,2812,2675,2425,2468,2538,2445,3472,3047,2993,2901,2854,2955,2934,2708,2824,2875,2830,2925,2788,2845,3000,2876,2789,2682,2556,2534,2542,2610,2566,2430,2342
Louisiana,3944,3779,4130,3777,3702,3687,3220,3833,3242,3238,2933,2821,2814,3043,3124,3144,3224,3362,3178,3184,3293,3400,3126,3133,2936,3043,3065,3009,3035,3041,3254,3164
Maine,1271,1205,1115,1081,1016,1002,1084,1389,1400,1475,1524,1459,1490,1255,1129,1076,1142,1237,1327,1364,1332,1432,1405,1333,1367,1331,1106,1214,1215,1324,1203,1103
Maryland,3920,3433,3391,3353,3390,3364,3584,4246,4578,4649,4508,4483,4555,4481,4126,3892,4117,4097,4339,4197,4372,4564,4413,4349,4362,4588,4307,4346,4478,4381,4032,3929
Massachusetts,5695,5014,5175,5008,5022,5105,5086,6093,6352,6135,6102,5825,5627,5001,4594,4655,4912,5449,5583,5398,5477,5668,5648,5338,5181,5128,4947,4891,5064,5237,4658,4665
Michigan,7944,7073,7034,6680,6520,6181,6404,8128,7996,7797,8283,7556,7675,7953,7515,7117,7294,7627,8101,7818,7658,7563,7116,6901,6501,6807,6288,6073,6149,6243,5847,5825
Minnesota,4560,4066,4021,3742,3598,3318,3338,4414,4277,4114,4051,4046,4266,4286,4324,4184,4324,4603,4579,4733,4847,4961,4723,4762,4616,4720,4626,4423,4476,4502,4171,4036
Mississippi,2346,1968,2094,1905,1763,1655,1685,2366,2038,1810,1830,1723,1736,1889,1781,1699,1913,2002,1985,1888,1865,1985,1968,1811,1767,1735,1847,1734,1725,1737,1758,1649
Missouri,5019,4446,4482,4096,4113,3844,3989,5092,5355,4805,4979,4575,4795,4621,4560,4380,4520,4847,4807,4552,4623,4747,4678,4765,4288,4542,4544,4582,4662,4593,4150,3867
Montana,1187,1101,1222,1086,961,866,913,1067,997,997,964,927,902,950,962,1047,1039,1093,1199,1202,1209,1327,1217,1264,1236,1279,1245,1342,1344,1422,1262,1206
Nebraska,2024,1778,1626,1595,1507,1442,1422,1817,1793,1444,1461,1480,1519,1512,1427,1474,1488,1507,1493,1474,1718,1714,1609,1669,1644,1670,1545,1600,1613,1619,1561,1516
Nevada,1040,1001,1221,1088,1064,1038,916,1142,1091,1219,1246,1214,1356,1381,1359,1274,1348,1540,1653,1647,1797,1985,1999,1974,2013,2102,2210,2189,2220,2324,2107,2209
New Hampshire,1218,1102,1123,1021,999,1091,1104,1453,1516,1489,1531,1429,1338,1210,1123,1113,1169,1327,1358,1348,1335,1366,1228,1243,1117,1112,1137,1164,1163,1206,1044,1064
New Jersey,8187,7057,7356,7274,7109,7108,7145,8063,8527,8423,8549,8501,8087,7668,7263,6949,7394,7486,8164,8243,8527,8837,8275,7877,7947,7643,7625,7428,7704,7659,7210,6990
New Mexico,1534,1421,1552,1499,1388,1235,1312,1525,1436,1410,1344,1291,1429,1431,1463,1322,1388,1548,1482,1420,1493,1493,1402,1426,1484,1405,1363,1418,1439,1484,1387,1337
New York,18371,16663,16164,15763,15785,15778,16025,18230,18882,18245,18254,17531,17214,16407,15687,14807,15182,15483,16483,16800,17543,18059,17102,16891,16876,16882,17034,17117,17468,17745,17003,17591
North Carolina,5576,4892,5048,4736,4723,4692,5021,7947,6711,6300,6211,6017,6133,6307,5946,5706,5826,6291,6722,6765,7177,7217,7231,6972,6985,6681,6860,6738,7153,7111,6802,6570
