State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
New Mexico,0,0,0,1183.85,0,1213.04,107.17,2346.87,1597.88,339.83,1127.79,336.32,1482.01,735.03,50.48,323.73,1215.93,825.1,648.22,464.24,1372.19,537.12,1384.58
New York,29.79,83.98,114.13,526.63,1703.48,3288.87,1080.11,628.55,597.8,648.35,1038.89,1188.05,1371.31,1958.83,1054.64,1740.09,2707.83,2017.7,3371.72,4353.41,5705.84,6004.53,7458.52
North Carolina,62.03,225.84,200.06,554.76,2018.98,3456.91,1159.05,1332.73,1117.14,1071.58,1264.89,1056.42,1430.16,1568.09,879.43,1942.34,1100.69,940.53,1351.88,1061.62,2410.4,1397.61,1626.86
North Dakota,0,0,0,0,0,0,0,0,402.23,410.05,255.56,1.91,88.91,519.2,4.69,163.44,27.44,46.74,18.56,80.45,35.86,64.01,0
Ohio,45.81,23.79,195.04,149.52,251.17,655.34,335.55,300.63,261.56,254.34,287.65,316.46,693,5400.1,363.05,423.83,469.18,1005.03,723.97,1006.19,653.71,565.03,573.77
Oklahoma,0,0,0,54.18,0,0,1.55,278.33,77.91,137.87,92.32,368.17,150.46,492.99,194.19,90.31,328.9,316.97,78.74,230.06,496.68,93.89,80.39
Oregon,155.36,231.5,298.05,162.11,845.41,4672.43,2385.59,1063.27,948.1,1417.29,772.57,640.08,1053.48,1251.72,1039.9,1162.13,2391.85,1283.72,6605.64,1583.94,1131.99,1505.44,1493.38
Pennsylvania,132.4,297.85,399.64,251.81,1279.96,3436.97,2384.81,888.2,1092.51,1359.16,1122.5,1271.53,1934.49,1215.51,1251.43,1280.18,1223.66,1252.41,1067.46,1919.06,1360.85,1855.64,1326.33
Rhode Island,0,0,29.38,0,34.06,1217.7,424.26,1272.95,1344.08,1574.94,1749.26,1792.84,474.02,495.88,465.96,1644.07,864.96,2560.32,2264.99,1212.32,3631.31,746.1,1166.15
South Carolina,0,0,0,0,39.46,1251.66,746.85,69.1,601.9,455.39,87.16,78.72,769.94,95.73,133.76,445.14,109.83,266,241.29,296.09,341.93,147.93,391.31
South Dakota,0,0,0,0,1757.64,440.7,0,45.56,10.93,0,0,0,227.65,0,60.79,0,0,280.12,265.98,252.3,245.29,264.12,105.22
Tennessee,0,429.3,86.26,38.85,245.76,203.71,45.81,261.97,451.4,540.22,550.33,268.91,772.4,442.27,501.63,268.97,736.42,831.94,1064.3,1678.42,947.39,954.56,716.55
Texas,58.18,253.81,451.78,463.89,1523.66,5109.8,2354.42,1528.03,1418.86,1317.45,1161.22,1385.06,1419.7,1294.12,1182.21,1209.18,1402.07,1133.86,1702.43,1537.18,1389.3,1146.49,1100.56
Utah,44.92,96.12,60.66,589.33,1793.77,3716.35,2559.34,1278.96,886.56,2826.31,1595.84,2209.02,2275.47,3656.85,1856.74,1786.61,2809.64,2540.46,3250.16,7290.28,3828.88,5618.86,6397.23
Vermont,0,0,0,0,0,218.44,830.13,14.88,0.47,328.69,0,143.56,708.99,2585.87,27.06,1891.69,2768.44,603.39,1151.24,1609.34,1205.18,383.44,215.19
Virginia,197.06,373.59,436.96,510.52,2057.7,6579.66,2259.28,1072.13,1101.33,812.94,1278.35,1215.26,1478.86,1997.08,808.94,1068.31,1457.91,956.56,1286.33,1161.47,1083.2,1096.43,1573.86
Washington,181.6,804.79,725.79,995.41,3547.14,4699.96,3460.03,2516.95,1729.48,3647.82,3035.99,5586.3,4950.37,3066.17,3214.58,2001.93,2002.09,4373.81,3049.85,4067.86,4415.34,3132.07,3160.6
West Virginia,0,0,0,0,35.86,20.65,17.05,11,25.28,62.92,35.49,76.07,105.4,28.2,27,57.45,39.55,222.48,80.94,0.56,36.11,100.27,8.76
Wisconsin,0,15.41,25.65,101.4,178.74,1145.29,280.41,179.92,186.08,373.39,380.91,324.47,346.6,395.16,211.13,541.73,541.98,546.9,497.05,445.08,690.01,715.99,431.77
Wyoming,0,0,0,0,0,0,0,0,19.02,0,3.68,47.21,102.45,724.49,0,2.67,35.56,3.9,1234.23,217.92,488.61,50.97,469.1
