State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,0.831823738,0.847542187,0.843674869,0.838327783,0.832676249,0.823743179,0.818221724,0.823811659,0.829329741,0.838862374,0.840238661,0.854411049,0.856957896,0.859523336,0.864018663,0.867458177,0.869388001,0.870189454,0.867922811,0.869677004,0.869608147,0.868838296,0.872506549,0.877416448,0.877750781,0.880128511,0.886366946,0.893142314,0.897037174,0.901559068,0.902946821,0.90539205,0.906527685
Indiana,0.837806793,0.858546741,0.846985453,0.842557823,0.833961395,0.815846632,0.821791333,0.824308279,0.833718018,0.837698357,0.847980937,0.857777887,0.862697069,0.868439801,0.87112344,0.872166786,0.873387101,0.871877602,0.870184672,0.870279559,0.874380041,0.874181317,0.879957462,0.884673896,0.883683043,0.889318904,0.892621368,0.897280363,0.900684367,0.906418817,0.905616668,0.913509515,0.919793182
Iowa,0.776451785,0.82033958,0.825961096,0.836029587,0.83136893,0.81889506,0.82459803,0.821253713,0.828535878,0.83680466,0.842725234,0.86302193,0.871968904,0.876058155,0.876597632,0.879853569,0.879882379,0.87738729,0.865471944,0.883120444,0.884221561,0.886539392,0.888071518,0.890077093,0.886265881,0.88703435,0.896134529,0.903809139,0.907427164,0.9134959,0.918331288,0.921364088,0.924535466
Kansas,0.79407095,0.810489182,0.811050048,0.809367003,0.806557499,0.791898517,0.793922922,0.804257314,0.815870877,0.823991101,0.83183673,0.850577751,0.851434494,0.852646203,0.853805855,0.859054113,0.856433584,0.853653146,0.851105947,0.857442371,0.857749944,0.862053124,0.869408352,0.867862243,0.869674506,0.874559924,0.881394347,0.891162679,0.897206875,0.904042877,0.905053482,0.907582928,0.911409784
Kentucky,0.808870216,0.813412024,0.816949614,0.817241838,0.79315885,0.789456051,0.800593483,0.798180627,0.801771144,0.818935411,0.828896878,0.845408984,0.849085753,0.854408573,0.851160364,0.856939389,0.854432706,0.857510509,0.858556251,0.863711818,0.866057857,0.870059556,0.871534822,0.872549716,0.879895356,0.881155155,0.888079942,0.894810925,0.899866321,0.904891529,0.907848954,0.911787178,0.913807447
Louisiana,0.750376007,0.776295297,0.779160637,0.776846846,0.784766434,0.790359853,0.791507915,0.800390155,0.812593005,0.817026429,0.822869723,0.829727522,0.826906257,0.821823203,0.826091496,0.82613983,0.824704765,0.836879117,0.836913916,0.834443881,0.838052404,0.838653508,0.842364344,0.851894656,0.853315496,0.851904857,0.857678629,0.861621774,0.866890443,0.874177293,0.877905406,0.886314145,0.891571257
Maine,0.790345447,0.820061558,0.817885168,0.811450136,0.804067045,0.784461945,0.77199324,0.772896242,0.792154224,0.809217007,0.820229359,0.827705422,0.849092057,0.855302976,0.851678938,0.852609741,0.846836976,0.845338231,0.840659726,0.848190893,0.849694273,0.845300565,0.859084048,0.859071897,0.85919611,0.872349873,0.881016811,0.885067341,0.888784928,0.893954895,0.898244406,0.901105687,0.902683024
Maryland,0.809145016,0.822698625,0.823763353,0.804728336,0.802062461,0.799439892,0.795760015,0.797880102,0.806779729,0.823030965,0.831324963,0.840892924,0.844986954,0.846682707,0.84827181,0.850913002,0.848191961,0.852952134,0.851514288,0.853208675,0.853403978,0.853490755,0.858254445,0.863254022,0.864268657,0.866391445,0.876696766,0.88688349,0.890808594,0.893927768,0.895695544,0.901667284,0.902691944
Massachusetts,0.823317169,0.84451111,0.84396355,0.828346506,0.816348271,0.808859722,0.817256189,0.818843203,0.8302166,0.847081629,0.854981308,0.866091108,0.875884606,0.875015391,0.874753724,0.873378011,0.872930974,0.871994915,0.867052159,0.869905766,0.877411913,0.877153555,0.883504813,0.88881961,0.891846598,0.891216854,0.898448218,0.908930058,0.91490408,0.918835836,0.917655534,0.919042055,0.916103977
Michigan,0.823987745,0.838789234,0.845193012,0.837794095,0.830224634,0.821284371,0.817603559,0.819394502,0.828714813,0.838739214,0.848551887,0.856929591,0.85990466,0.859479011,0.859920056,0.859256005,0.85958572,0.858899121,0.855106698,0.857935534,0.858098218,0.861779716,0.860772419,0.861133336,0.855477611,0.861487496,0.86953047,0.875787068,0.881410318,0.887899779,0.893290525,0.895020777,0.899411083
