State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Illinois,0.13176713,0.124159756,0.128110512,0.132498538,0.139784627,0.143034133,0.151887142,0.148795959,0.143742564,0.136375,0.130039642,0.122060761,0.115629107,0.115894505,0.112215612,0.108396482,0.104178251,0.105699196,0.110018741,0.109693524,0.105494912,0.107926161,0.104294474,0.097380746,0.097808395,0.098382442,0.094021898,0.089671251,0.083708043,0.079662007,0.080451286,0.079008112,0.076901749
Indiana,0.134385641,0.116315112,0.120386715,0.128058933,0.135315451,0.149072334,0.148693665,0.14751528,0.140264952,0.136269959,0.12764726,0.120688921,0.11314321,0.106786832,0.10527412,0.104857948,0.098937464,0.103723479,0.107683247,0.109250989,0.099001742,0.103303114,0.098281192,0.09068969,0.091112552,0.089355392,0.087471625,0.085919857,0.081447791,0.077802761,0.077336787,0.071002865,0.066093415
Iowa,0.190739112,0.145847339,0.140154356,0.13458538,0.133783506,0.143966987,0.147193688,0.15245052,0.14715097,0.139032413,0.128355485,0.115050327,0.104140045,0.099384002,0.100394358,0.096607273,0.094209981,0.099948524,0.112629163,0.097360345,0.092255466,0.091518181,0.092096252,0.087727435,0.091585119,0.09285826,0.084520497,0.079747703,0.077181865,0.071065029,0.067748784,0.06602018,0.059414599
Kansas,0.164589023,0.153338007,0.147135723,0.152506905,0.154887984,0.161082743,0.171073759,0.165418075,0.153324471,0.148061167,0.138769276,0.120886572,0.118511041,0.117372115,0.118944494,0.111030981,0.11138053,0.118352312,0.122249958,0.118526931,0.113825048,0.112634642,0.106581764,0.106449188,0.106021357,0.103633377,0.098832607,0.090267424,0.086212211,0.077510599,0.075191069,0.073962605,0.070625545
Kentucky,0.149395501,0.147617441,0.14715778,0.147650321,0.168140666,0.172748413,0.166265677,0.167463682,0.165619883,0.151989129,0.14322256,0.126315909,0.121520468,0.116458033,0.117813601,0.116255406,0.113480055,0.114370847,0.116605867,0.113546086,0.106846041,0.106703493,0.101995779,0.10069476,0.094011924,0.09463755,0.089677421,0.088161818,0.080383984,0.078069382,0.07416776,0.072049061,0.065936169
Louisiana,0.204320817,0.185791081,0.180468857,0.182654831,0.176233949,0.163587374,0.169833142,0.168669251,0.154378798,0.147186694,0.146808212,0.134876088,0.135624774,0.142315609,0.143468333,0.14077546,0.139403144,0.133891022,0.129987308,0.137730555,0.131815579,0.133169264,0.129042204,0.121331163,0.11508051,0.120063179,0.117122047,0.114725895,0.11058272,0.104957541,0.102108223,0.093817714,0.087948485
Maine,0.171481093,0.149328628,0.147638506,0.15253233,0.157410125,0.161932709,0.18519209,0.185583397,0.175735165,0.163988665,0.152204157,0.143668383,0.122294642,0.117608494,0.117135415,0.119814461,0.11913371,0.12395825,0.125343779,0.125978931,0.119897439,0.125672534,0.116599435,0.117185877,0.109961076,0.104984409,0.099022942,0.096453895,0.091975898,0.087176618,0.082620352,0.081875691,0.075601396
Maryland,0.154318719,0.147230963,0.141576416,0.157356687,0.157224204,0.160103644,0.16765627,0.171010303,0.162022427,0.150131169,0.140958539,0.131013502,0.125394448,0.126349858,0.124357628,0.121186467,0.118760464,0.119275341,0.124675531,0.12270241,0.11745442,0.118888669,0.117171062,0.111209064,0.108175087,0.111094143,0.102720736,0.094679787,0.091302812,0.086573373,0.086491051,0.081929124,0.08076599
Massachusetts,0.141269888,0.130292889,0.127646945,0.141390308,0.146384758,0.152038898,0.151363068,0.154434525,0.146142687,0.132770831,0.123384793,0.113748766,0.101736495,0.102079109,0.10400936,0.103898904,0.101268382,0.105173478,0.111169529,0.10898214,0.099610819,0.101839178,0.096168959,0.091603048,0.087667407,0.091909006,0.085189834,0.077369428,0.070767883,0.06647501,0.067678689,0.067963516,0.067099823
Michigan,0.146407898,0.135249166,0.124806662,0.130939613,0.138673271,0.141766857,0.151664322,0.152115324,0.14538808,0.136543584,0.128100426,0.118843668,0.114731078,0.113391737,0.113378798,0.113801863,0.112239056,0.115578616,0.12046107,0.117226871,0.112152381,0.111466075,0.109108704,0.109602046,0.116677222,0.11492478,0.107628461,0.103291664,0.099705618,0.092624522,0.087106246,0.087493259,0.084652111
