State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,3024159,2501352,2799179,2944305,3144070,3586546,3083185,2967403,2927070,2732723,2827797,2651343,2926367,2976840,2995325,3052143,3438399,3203336,3103532,2971683,3327223,3163519,3162791,3411836,3553408,3064223,2858440,2414722,2430706,2339694,2328361,2294266
Alabama,35610,30618,40635,41829,45398,54273,43940,41022,41909,40077,41423,39121,47748,46040,41303,45506,51438,48592,38400,36091,40465,42823,40278,44882,51240,43391,35002,31616,30085,27999,28014,30599
Alaska,9101,9153,9739,9876,9349,9030,7021,9771,6222,5646,5048,5859,6552,6196,5791,5968,6863,5920,6478,5973,7546,7766,5903,6040,6496,6160,6066,4887,4768,4183,5155,4374
Arizona,48702,49400,48428,62285,58254,61408,54250,52590,48650,48494,49978,46230,56327,58573,56834,62222,67248,75758,65843,68192,63603,66497,64044,79071,87347,70526,68273,56693,61626,46760,49312,48409
Arkansas,24293,21951,25465,24514,25267,29039,24278,24909,24064,23283,25666,23422,29286,28277,26768,28435,29329,25821,28358,23991,27200,24186,24809,26507,29757,25117,22386,19886,21980,20075,16648,16672
California,438861,360286,363351,383449,414596,474792,420596,412693,423667,377489,414538,337799,367845,366585,371461,388786,430195,406210,433772,401687,453107,436983,441966,464443,488289,389131,364629,321515,294438,297655,305656,317300
Colorado,103641,56577,57632,59382,59072,59732,48697,47418,47035,46832,49365,50867,58678,60181,59555,65107,67509,67641,64681,62228,62564,68831,59154,66931,68887,64387,55623,48297,49910,48158,45349,43607
Connecticut,35760,30276,35878,36686,43666,51029,44874,40541,34843,33493,30917,28747,30845,31755,33999,32137,36762,33584,31981,30353,36172,27162,27478,36632,32100,34931,30755,25725,24600,23263,23282,26833
Delaware,6400,5011,6666,6920,25462,11165,8405,8660,7383,10591,7081,6632,8221,8985,8782,9363,10881,9617,9701,7670,9707,10166,9030,9670,9831,11542,9167,8609,8028,7104,7413,7323
Florida,186688,157656,188596,195965,211960,239909,211756,199294,205076,198989,199482,209587,210367,204470,202120,223600,212263,202105,195195,195548,218059,253257,251498,254351,287505,253345,205961,184227,206122,195507,195782,180988
Georgia,67910,56132,73368,82001,87955,104072,90609,82688,78035,77616,88219,83272,92324,98394,98618,92321,106204,121572,100372,94941,107320,102651,99050,112745,119781,106235,98684,79287,69124,73381,73773,68351
Hawaii,13852,12133,9388,12913,13054,17743,14184,16216,15194,16243,13428,11743,16588,10920,13290,9817,12993,10997,11802,18152,12933,14202,12151,14604,15116,12326,9677,8269,10542,9545,7942,8388
Idaho,25442,12103,11000,10928,11167,13282,12142,11263,12444,11332,11922,12442,15054,14011,15655,16158,18892,16501,17778,21650,20222,16754,18281,19099,23399,21506,16267,14684,11583,11457,10952,10715
Illinois,141962,105174,112686,119798,115610,140760,129537,122739,126277,113747,137096,108891,129619,119815,116994,121275,132119,128589,120581,110868,129794,121584,121478,131812,131095,115712,107104,87520,95395,93881,84531,84745
Indiana,47121,40619,56678,53699,57758,68207,58491,58916,55879,54913,52608,47606,54647,58592,55995,55889,70950,60206,58232,52082,67146,57503,56304,64144,67328,56666,52111,41855,43031,38221,42899,39036
Iowa,28985,27387,28047,25171,30029,32827,25955,25850,24865,25355,29850,23024,25378,27315,26252,27195,32570,31747,27864,24310,29742,27481,25185,28399,29098,26497,25801,21307,19288,19831,18695,16547
Kansas,30376,25703,32508,30320,30675,37011,27929,25846,27330,24637,26161,25762,27957,28663,26964,30621,34265,30272,29871,26767,31471,28474,27069,29189,28140,25410,23392,21040,18933,20446,22208,22746
Kentucky,39205,35305,33871,36479,41965,42011,36339,39126,38727,34609,33424,35092,37360,38951,41722,37175,45820,40868,37850,33766,40045,34350,39470,40494,40113,37481,34656,25419,28692,24639,26850,24505
Louisiana,58212,45836,49974,50402,47745,53413,45279,37220,41504,45741,39522,46365,50208,49678,43780,48306,51712,47004,53876,43547,47339,44996,46099,42930,49456,45434,41609,38834,35618,33544,32636,31963
Maine,12009,9718,11678,12796,14095,21053,17665,17740,13379,10703,10685,11566,11736,11430,13284,12008,14891,14499,16084,12801,15398,14109,11884,11530,15442,11248,10015,8899,9115,8863,9183,7406
Maryland,46534,38744,47987,56294,63713,67520,63157,54748,56347,46600,47487,48129,51168,48507,49461,52175,65024,52663,48255,50184,60092,57597,52470,54537,61414,49523,45673,39051,37104,41456,38265,35217
Massachusetts,82715,58098,71229,79166,99915,106964,88201,76445,64968,51986,55093,52338,58479,61618,57918,63671,73285,67434,65687,64061,67995,62247,59871,58123,62341,51873,50164,40386,42831,42140,44123,39720
Michigan,78326,67934,83885,91168,96083,117591,98615,94892,88796,81241,77763,82258,88513,98834,98721,102036,108373,101000,98300,97857,115316,103362,116327,109931,105552,86717,83243,70705,61984,66176,67335,61323
Minnesota,46455,44860,48923,53413,51995,58343,50057,46748,49203,46959,43664,48945,51512,61111,52446,50368,65638,53841,54463,52094,60018,57171,55815,59831,64929,55283,52235,44099,41651,40298,34022,40367
Mississippi,20659,19564,24934,23527,22716,27463,22735,24073,22350,22720,19640,27621,34942,27721,26975,25438,27554,25371,26022,23976,28353,25131,25607,25682,30173,22362,21699,20151,18735,17146,15273,16159
Missouri,51909,47204,53200,56640,61096,76980,54541,56761,57791,53028,55338,54449,59445,58546,56262,54767,70230,61948,58792,52050,66592,60100,63032,68588,62438,58584,52520,45035,41204,40210,41652,39332
Montana,11340,12958,10513,10698,10314,12183,9536,8757,8598,8831,9452,9083,10548,11575,11879,11132,12885,11628,10735,10093,11512,10934,11315,12449,14595,11929,10899,7857,9548,7455,8181,8152
Nebraska,18040,23607,15879,18431,17178,21972,18046,16236,16579,13740,16446,16294,16438,17508,17807,15336,22111,16887,16836,17600,17607,16938,17501,18269,17502,15301,17061,13019,11112,12649,16360,11136
Nevada,21815,13691,16423,17282,18720,23687,19251,21726,21493,20180,20374,21762,28062,31592,35663,30923,41050,37273,34391,30401,37422,38802,37864,49715,50004,44579,38479,31138,34591,27475,28076,28963
New Hampshire,11261,11914,14793,16918,22238,22077,20509,20437,13644,11486,11577,11020,13080,14811,14866,14154,14444,12420,14167,14816,12635,12293,11799,14864,15552,11047,13104,9246,9732,9210,11632,9265
New Jersey,81734,69654,81893,84175,100832,118506,100987,89686,91237,75295,76847,74683,80998,89093,86912,88054,106261,95573,83343,101603,93489,90311,89701,95654,99246,90699,96540,66240,67317,71366,66820,76486
New Mexico,20222,21103,17505,18535,19837,24685,16069,16463,16434,18107,16674,16949,19506,20261,19690,18945,21522,19870,17596,18281,20269,18738,19352,19370,20946,28509,16256,13483,13061,13548,14021,15203
New York,206415,171748,184690,194192,201080,260849,212727,208921,194466,172948,184319,170581,181079,182652,191232,195711,233454,203449,205086,193462,209531,196607,197435,216407,215898,184599,203039,169297,178930,175218,166424,175115
North Carolina,60928,52617,71302,73586,73170,82594,83517,74015,71755,65424,66216,64658,76849,78636,87373,88153,100353,96832,91261,87577,89229,85619,89633,97499,102852,87326,82036,68034,75132,67527,62664,63949
North Dakota,8076,8318,7740,7204,6863,8470,7063,6049,5907,5669,5342,6108,6227,6805,9014,5988,7819,7758,7572,6633,6461,5763,6369,7305,7494,7602,6923,6150,5315,6903,9895,8604
Ohio,100782,75404,97176,99888,106408,126722,109071,115945,102522,94752,88863,91786,99111,100549,105334,109793,117294,117430,108545,96913,114925,103365,99217,114458,113492,94579,89624,73806,76960,69144,71124,66086
Oklahoma,58463,39404,41530,39719,39135,48593,34018,33807,30542,32879,31758,30719,35472,34632,35299,40294,42595,37519,38603,34268,39507,30413,32710,38191,43291,37088,35012,29719,30810,26731,27694,28156
Oregon,35906,35568,36164,36745,37359,42417,36387,32257,42192,35906,37582,33752,38138,40597,47233,40230,43990,37400,38602,34608,38490,35391,41120,43567,46365,40429,35466,28066,28682,26755,29658,27139
Pennsylvania,108646,92913,107118,121101,142388,148088,124264,123837,109419,106495,104317,93693,104998,107171,108503,105155,122487,112459,117403,106320,119603,106950,106920,129445,125029,92448,90391,79037,83133,78878,76415,75870
Rhode Island,8660,7847,10055,11285,12775,15768,13039,14482,10671,9342,9294,8435,13615,7964,10165,9999,12129,8640,13589,8664,8955,11640,11518,11165,10111,11354,9803,6624,6968,7548,6705,6629
South Carolina,33120,25513,37682,38845,38712,46534,55079,37412,38316,36933,37078,33661,44276,42679,41359,45005,49192,50230,45523,43715,45981,51005,43579,47395,49016,46543,36567,40364,31448,30688,28754,30641
South Dakota,7464,6791,7560,7942,7381,10937,7391,5987,8315,8421,7094,7656,8978,7779,8876,8721,9116,8710,9450,8728,8980,8363,7314,8115,9626,8145,9204,7541,8259,6749,7181,6107
Tennessee,50571,45046,56837,53847,59900,69333,55911,62913,57949,59523,52095,53779,60907,61603,64366,62375,71225,67100,57259,53324,62460,58847,58533,60777,65832,56374,53765,39980,42697,41596,44007,37235
Texas,269856,218201,242893,244082,247146,243989,211563,213959,232111,229453,242385,216799,230073,242708,249442,249968,273483,251611,240465,252079,300333,256072,259141,286663,274406,258184,253401,218022,232000,220029,217901,220240
Utah,19923,22106,21072,19888,22319,20903,23080,21931,20316,21816,21093,23478,28591,32228,30633,31573,34820,31471,31089,30640,34767,34346,32516,36014,39950,36922,31807,26145,29766,27475,30583,27230
Vermont,6677,5408,7932,8303,9417,10001,8878,8686,7278,6422,6400,6129,6406,6493,7076,6232,7669,6721,6814,6014,8132,6619,6689,6567,6572,7703,5405,7234,4178,4595,4176,3706
Virginia,56757,46148,52503,67553,75778,81931,76768,74211,65344,59093,62695,61240,60726,68098,64727,69011,77734,73287,70002,66028,77960,71461,79870,82561,85250,67389,69544,58596,55734,54383,54326,50374
Washington,56737,55259,58327,55001,61191,67088,60122,52497,72615,61536,64296,59987,63532,67555,66157,68628,77310,76245,70364,62413,64411,68727,67148,70636,80012,71118,63932,48597,49006,47766,46543,43478
West Virginia,17215,12680,12693,17815,15407,19636,16175,17252,15063,16387,12837,11905,12905,15591,16315,13867,15480,13930,12563,11984,13274,13059,12570,14440,17007,11728,11135,9891,11280,9174,10877,8675
Wisconsin,45282,39328,48183,47086,44227,66634,49767,48169,50114,47713,45059,45342,48198,49716,50646,48714,62826,54154,47722,49972,55861,53495,57394,53741,59378,47933,42646,36515,36153,33230,30497,31523
Wyoming,17608,9010,6546,6793,6021,7003,4920,4787,4665,4891,4825,6202,6794,5627,6313,6205,7973,5944,6380,6542,7546,5988,6044,6630,8635,7167,6438,5939,5039,4935,4913,4906
