State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oregon,0.0398,0.0411,0.0388,0.0391,0.0404,0.0411,0.0429,NA,NA,0.0471,0.0482,0.0478,0.0498,0.0497,0.0507,0.0502
Pennsylvania,0.0338,0.0353,0.0367,0.0382,0.0387,0.0398,NA,NA,NA,NA,0.0434,0.044,0.0447,0.0456,0.0462,NA
Rhode Island,0.0393,0.0402,0.0377,0.0374,0.0379,0.0378,0.0395,0.0406,0.0431,0.0445,0.0455,0.0457,0.0457,0.0463,0.0483,0.0484
South Carolina,0.0276,0.0284,0.028,0.0289,0.0288,0.0305,0.0318,0.0322,0.0344,0.0352,0.0357,0.0359,0.0355,0.036,0.0363,0.0367
South Dakota,0.0251,0.0257,0.0253,0.0265,0.0297,0.03,0.0294,0.0288,0.03,0.0301,0.0317,0.0323,0.0336,0.0339,0.034,0.035
Tennessee,0.0244,0.0247,0.0247,0.0247,0.0259,0.0264,0.0263,0.028,0.0298,0.03,NA,0.0315,0.0316,0.0312,0.032,0.0325
Texas,0.0395,0.0413,0.0413,0.0419,0.0439,0.0446,0.0457,0.0447,0.0455,0.0467,0.0471,0.0482,0.0487,0.0482,0.0477,0.048
Utah,0.0437,0.042,0.041,0.0432,0.0426,0.0427,0.0432,0.0443,0.044,0.0456,0.0467,0.049,0.0488,0.0499,0.052,NA
Vermont,0.0392,0.0422,0.0429,0.0427,0.0424,0.041,0.0435,0.0441,0.045,0.0438,0.0433,0.0441,0.0452,0.0439,0.0431,0.0422
Virginia,0.0613,0.0668,0.0669,0.0698,0.0699,0.0706,0.0736,0.0725,0.0753,0.0763,0.0761,0.0747,0.0736,0.0732,0.0746,0.0755
Washington,0.0587,0.06,0.0607,0.0628,0.0654,NA,0.0706,0.0691,0.0723,NA,0.0742,0.072,0.0734,0.0743,0.0738,0.0745
West Virginia,0.0238,0.0231,0.023,0.0241,0.0232,0.0237,0.0232,0.0248,0.0261,0.028,0.0275,0.0284,0.029,0.0294,0.0303,0.0313
Wisconsin,0.0347,0.0345,0.0343,0.0353,0.0359,0.0366,0.0375,0.038,0.0387,0.0385,0.0393,0.0413,0.0425,0.0442,0.0445,0.0453
Wyoming,0.0255,0.0282,0.0292,0.0291,0.0297,0.0312,0.0316,0.0306,0.031,0.0313,NA,0.032,0.0316,0.0306,0.0297,0.0313
Wyoming,0.0255,0.0274,0.0292,0.0291,0.0297,0.0312,0.0316,0.0306,0.031,0.0313,,,,,,
