State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,351037,341669,337822,405987,404940,404541,405844,378889,378014,386162,360725,356579,367133,383186,396071,394492,396951,399903,384732,374556,370919,380362,383396,400871,412028,422439,387717,353802,303529,288115,307195,315925
Alabama,4415,4292,4445,6134,5558,5680,5830,5199,5263,5297,5000,5153,5466,5959,5877,5888,5784,5733,5334,4883,4758,4747,4962,5032,5034,5166,5091,4366,3691,3331,3421,3469
Alaska,828,1090,1326,1418,1279,1118,958,727,771,1048,992,881,986,966,1029,999,1025,1065,924,951,877,1011,910,966,865,974,938,871,772,694,687,730
Arizona,5249,5644,5478,6592,6826,6833,6836,6056,6094,6192,6012,5952,6168,6875,7108,7133,7372,7353,7355,7132,7097,7212,7369,7863,8616,9650,8581,7491,5938,5468,5890,5926
Arkansas,3134,3155,3185,4134,3615,3487,3449,3124,3134,3432,3187,3373,3617,3738,3938,3641,3602,3558,3478,3243,3237,3406,3407,3388,3441,3484,3184,2933,2566,2390,2526,2416
California,45804,43781,41740,48622,49819,51155,52767,48706,49044,51098,46246,42475,40719,42315,44220,45973,45692,47236,47059,47552,47430,48726,49473,50164,53228,56614,50262,45748,39296,36719,39619,40996
Colorado,6918,6926,6638,7766,7626,7073,6859,6336,6458,6740,6978,7025,7764,8554,8654,8502,8760,9136,8830,8856,8764,8702,8728,8746,9453,9560,9073,8288,6890,6608,6869,6951
Connecticut,4699,4774,4657,5477,5829,6219,6700,6358,5912,5085,4361,4297,4410,4581,4755,4371,4330,4570,4234,4179,4032,4111,3834,4062,4186,4139,3732,3625,3063,2874,2948,3150
Delaware,797,791,848,1033,1060,1118,1160,1125,1233,1175,1126,1107,1189,1250,1305,1226,1276,1404,1396,1496,1322,1253,1356,1309,1261,1240,1097,1110,942,829,867,952
Florida,21660,21815,22291,25523,26615,27358,28124,27448,26796,27801,26295,27393,28236,28469,28155,27941,27489,27940,27629,26891,27301,29275,31498,37635,36918,35962,31476,27719,24534,24669,26853,27708
Georgia,7694,7995,8281,10459,10697,10972,10747,10104,10035,10055,9825,10352,10844,11606,11827,12125,12054,12727,12271,12108,11568,12008,12251,12820,13432,13780,13091,11594,9479,9021,9403,9647
Hawaii,1793,1705,1656,1484,1750,1633,1732,1744,1702,1847,1777,1507,1516,1511,1474,1535,1431,1460,1343,1498,1439,1557,1552,1593,1587,1611,1545,1313,1130,1033,1064,1084
Idaho,1574,1574,1552,1753,1764,1677,1593,1515,1615,1971,1771,1963,2022,2317,2329,2356,2489,2381,2358,2302,2300,2344,2398,2645,3000,3574,3054,2405,1817,1607,1721,1773
Illinois,13909,14060,13302,15980,16318,15806,16346,15325,15639,16056,15037,14928,15420,15802,16149,16032,15921,15937,15448,15006,14185,14616,14812,15436,15774,15856,14693,13957,11983,11423,12445,12407
Indiana,6019,5661,6527,7936,7787,7746,7634,7018,7350,7563,7229,7170,7389,7651,7780,7663,7563,7586,7064,6733,6496,6919,6486,6796,6688,7171,6477,6112,4867,4544,4858,4884
Iowa,4071,3917,3704,4636,3947,3711,3822,3484,3663,3898,3681,3739,3655,3925,3997,3914,3771,3780,3539,3497,3378,3597,3562,3611,3671,3928,3385,3215,2746,2570,2719,2654
Kansas,3940,4008,3808,4870,4338,4018,3925,3600,3638,3663,3574,3674,3750,3945,3988,3933,3934,3998,3726,3643,3642,3735,3743,3735,3721,3728,3493,3169,2719,2433,2544,2643
Kentucky,4123,4389,4371,5469,5050,5126,5058,4613,4830,4966,4442,4625,4877,4789,4958,4713,4846,4964,4639,4407,4256,4256,4134,4354,4499,4360,4053,3738,3161,3013,3207,3186
Louisiana,6647,7013,6130,6893,6275,5728,5025,4651,4466,4953,4999,5084,5254,5618,5458,5434,5469,5487,4956,4878,4863,4932,4933,4921,4641,4951,5239,4777,4067,3827,3816,4043
Maine,1583,1589,1716,2127,2290,2534,2714,2605,2436,2054,1796,1756,1836,1940,2148,2182,2148,2327,2196,2075,2035,2018,1886,2044,2000,2190,1931,1719,1361,1251,1368,1384
Maryland,5197,5435,5320,6505,7230,7669,7569,7409,7388,7210,6513,6409,6770,6857,7204,6855,7113,7027,6862,6537,6600,6997,6745,7201,7372,7415,6533,5833,5039,4627,4970,5312
Massachusetts,7410,7858,7928,9474,10395,10857,11412,10583,9461,8084,7063,7273,7615,8409,8810,8559,8848,8980,8549,8396,8576,8422,8098,7963,8204,8512,7373,6769,5798,5794,6130,6442
Michigan,10056,9957,10342,12743,12772,12579,13444,12148,12144,12340,11629,11344,11604,12129,13183,12883,12655,12241,11638,11284,10635,11131,10726,10759,10833,10639,9571,8950,7686,7076,7771,7882
Minnesota,5682,5592,5690,7115,6897,6708,6503,6259,6435,6696,6485,6509,6731,7086,7358,7297,7569,7676,7282,7170,7000,7329,7314,7453,7348,7420,6647,5920,5239,4777,5136,5049
Mississippi,2989,3011,2954,3780,3489,3258,3229,2931,2932,3213,2986,2970,3257,3452,3461,3384,3344,3310,3232,2896,2876,2974,3055,2950,2844,3048,2961,2602,2245,2080,2016,2054
Missouri,6803,6581,6555,8080,9012,8234,8228,7609,7943,7822,7346,7483,7799,8313,8377,7995,7894,7891,7683,7405,6895,7808,7965,8698,8252,8059,7155,6391,5601,5420,5514,5867
Montana,1657,1647,1641,1883,1789,1640,1542,1468,1460,1534,1518,1670,1686,1803,1988,1989,1922,2040,1837,1845,1874,1901,1858,2147,2180,2479,2166,1827,1480,1326,1380,1520
Nebraska,2479,2479,2360,2656,2771,2366,2313,2295,2324,2421,2324,2377,2347,2446,2465,2445,2487,2527,2385,2351,2565,2535,2409,2465,2491,2530,2354,2179,1977,1813,1921,1983
Nevada,1878,1790,1649,1996,1867,2033,2124,2070,2344,2407,2288,2237,2425,2770,2954,2943,3303,3570,3585,3449,3425,3657,3928,4156,4433,4688,4209,3786,3145,2982,3199,3077
New Hampshire,1596,1672,1766,2321,2621,3035,3095,2777,2354,1992,1759,1729,1805,2032,2123,2191,2174,2115,1976,1940,1844,1837,1845,1998,1976,2068,1713,1632,1335,1294,1301,1335
New Jersey,10655,11184,11282,12632,13598,14506,14856,14486,13231,12112,11379,11107,11826,12121,13295,13339,13893,13967,13133,12538,12453,12358,12472,12923,13449,13266,12157,10907,9393,9027,9749,10207
New Mexico,2402,2266,2405,2628,2544,2556,2333,2161,2313,2367,2369,2307,2362,2601,2647,2531,2499,2460,2290,2245,2276,2284,2192,2348,2413,2569,2358,2061,1758,1526,1636,1746
New York,24971,25822,26660,29540,31320,31433,31871,30417,29892,28065,26059,25067,25831,26361,27721,28142,29291,29246,27416,27341,27745,27776,28272,29165,29234,29751,28103,27672,25741,25892,26992,26830
North Carolina,7610,7255,8369,11946,10971,10781,10527,10101,10004,10244,9440,9153,9610,10568,11195,11369,12032,12050,11851,11025,11073,10517,10827,11394,12230,12512,11904,10391,8554,8451,8695,8689
North Dakota,1166,1157,1102,1277,1181,1050,1089,991,935,1002,968,934,1003,1081,999,993,961,968,828,849,969,964,935,1013,1032,1106,1060,976,896,829,1026,1285
Ohio,11560,11559,11247,14061,13759,13938,14244,13345,13423,13271,12538,12232,12717,13260,13786,13141,13165,13137,12269,11680,11267,11487,10948,11103,11194,11248,9793,9091,7652,7290,7796,8102
Oklahoma,6059,6370,5496,6290,5492,4868,4370,4129,4307,4621,4465,4547,4647,4871,4799,4756,5016,4828,4577,4354,4362,4495,4391,4352,4635,4788,4620,4431,3825,3414,3627,3855
Oregon,5125,4704,4553,5465,5413,5477,5594,4524,4513,6009,5301,5278,5540,6214,6403,6217,6051,6063,5799,5362,5582,5591,5584,5807,6484,6833,6169,5527,4551,4227,4527,4593
Pennsylvania,12232,12768,12768,15518,15881,16701,17111,16189,16205,15547,14085,13340,12950,13028,14224,13842,14296,14260,13747,13453,13142,13221,12793,13278,13664,13485,12346,11694,10049,9276,10155,10285
Rhode Island,1269,1291,1346,1653,1788,1848,2010,1927,1805,1546,1329,1366,1438,1518,1425,1549,1541,1558,1434,1384,1380,1407,1464,1585,1519,1499,1274,1177,917,912,968,984
South Carolina,3895,3823,4252,5539,5472,5157,5283,5034,4781,5082,4874,4743,4832,5111,5485,5517,5601,5861,5724,5377,5189,5343,5305,5432,5826,5931,5559,4709,4030,3763,3847,3974
