State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Iowa,0.032809103,0.033813081,0.033884547,0.029385033,0.034847564,0.037137952,0.028208282,0.026295766,0.024313151,0.024162927,0.028919281,0.021927743,0.023891051,0.024557843,0.02300801,0.023539158,0.02590764,0.022664186,0.021898894,0.019519211,0.023522972,0.021942427,0.01983223,0.022195473,0.022149,0.02010739,0.019344974,0.016443158,0.015390971,0.015439071,0.013919929,0.012615733,0.016049935
Kansas,0.041340027,0.036172811,0.041814229,0.038126092,0.038554516,0.04701874,0.035003319,0.03032461,0.030804652,0.027947731,0.029393994,0.028535677,0.030054465,0.029981683,0.027249651,0.029914906,0.032185886,0.027994542,0.026644095,0.024030698,0.028425008,0.025312235,0.024009884,0.025688569,0.024304137,0.021806699,0.019773046,0.018569896,0.016580915,0.018446523,0.019755449,0.018454467,0.017964671
Kentucky,0.041734283,0.038970535,0.035892605,0.035107841,0.038700484,0.037795536,0.03314084,0.034355691,0.032608973,0.029075461,0.027880562,0.028275108,0.029393779,0.029133394,0.031026035,0.026805205,0.03208724,0.028118644,0.024837883,0.022742096,0.027096102,0.023236951,0.0264694,0.026755524,0.02609272,0.024207295,0.022242637,0.017027258,0.019749695,0.017039089,0.017983287,0.016163761,0.020256384
Louisiana,0.045303176,0.037913622,0.040370506,0.040498322,0.038999617,0.046052773,0.038658943,0.030940594,0.033028197,0.035786877,0.030322065,0.035396389,0.037468969,0.035861187,0.030440172,0.03308471,0.035892091,0.029229862,0.033098776,0.027825564,0.030132017,0.028177227,0.028593452,0.026774181,0.031603994,0.028031964,0.025199324,0.023652331,0.022526836,0.020865166,0.019986371,0.019868142,0.020480258
Maine,0.03817346,0.030609814,0.034476326,0.036017534,0.03852283,0.053605346,0.04281467,0.041520361,0.032110612,0.026794328,0.027566483,0.028626195,0.028613301,0.027088529,0.031185647,0.027575797,0.034029313,0.030703518,0.033996495,0.025830176,0.030408288,0.029026901,0.024316516,0.023742226,0.030842814,0.022665718,0.019960247,0.018478764,0.019239174,0.018868486,0.019135242,0.017018622,0.02171558
Maryland,0.036536266,0.030070412,0.034660231,0.037914976,0.040713334,0.040456464,0.036583715,0.031109595,0.031197845,0.026837866,0.027716498,0.028093575,0.029618598,0.026967436,0.027370562,0.027900532,0.033047575,0.027772525,0.023810181,0.024088914,0.029141603,0.027620576,0.024574493,0.025536913,0.027556256,0.022514412,0.020582499,0.018436722,0.017888594,0.019498859,0.017813405,0.016403592,0.016542067
Massachusetts,0.035412943,0.025196001,0.028389505,0.030263186,0.037266972,0.03910138,0.031380743,0.026722272,0.023640713,0.02014754,0.021633899,0.020160126,0.022378899,0.0229055,0.021236916,0.022723085,0.025800644,0.022831608,0.021778312,0.021112095,0.022977268,0.021007268,0.020326228,0.019577341,0.020485995,0.016874141,0.016361948,0.013700514,0.014328037,0.014689154,0.014665777,0.012994429,0.0167962
Michigan,0.029604357,0.0259616,0.030000326,0.031266291,0.031102095,0.036948772,0.03073212,0.028490174,0.025897106,0.024717203,0.023347687,0.024226741,0.025364262,0.027129252,0.026701146,0.026942131,0.028175225,0.025522263,0.024432232,0.024837595,0.029749401,0.026754209,0.030118876,0.029264618,0.027845166,0.023587724,0.022841068,0.020921269,0.018884064,0.019475699,0.019603229,0.017485964,0.015936807
Minnesota,0.032199089,0.031992316,0.032508166,0.033705754,0.032040825,0.035173603,0.029250582,0.026483591,0.026748818,0.025858535,0.023587961,0.025601243,0.026251497,0.029832965,0.025005716,0.023440408,0.027716722,0.024939693,0.023145556,0.021871254,0.025180586,0.023824858,0.023213235,0.024257272,0.02606995,0.021641074,0.020440275,0.018354259,0.01748872,0.016569523,0.013578776,0.014163611,0.02872117
Mississippi,0.035342141,0.034131814,0.04040539,0.03578056,0.033114202,0.039904411,0.033391191,0.034063826,0.029938311,0.030871867,0.026644257,0.035856335,0.042742384,0.032323101,0.031662324,0.028806193,0.029314459,0.028727358,0.026700365,0.025956763,0.031243885,0.027395351,0.027520149,0.027681627,0.032254064,0.02356319,0.022921714,0.022399395,0.021316114,0.019462032,0.01718629,0.018165848,0.019710349
Missouri,0.03183305,0.029340021,0.031530566,0.031905381,0.033190883,0.040709865,0.02927124,0.02919488,0.029240582,0.026681074,0.027751231,0.027159641,0.028807013,0.027384452,0.025831068,0.024447839,0.031131836,0.026705166,0.025194567,0.021873146,0.028411035,0.025170837,0.026204179,0.028285155,0.025466153,0.023748894,0.021171518,0.01910989,0.01806242,0.017545105,0.017831944,0.016685334,0.016550105
Montana,0.055458099,0.065629429,0.052361769,0.048945842,0.04809166,0.055594642,0.048355026,0.042214006,0.039146706,0.039557812,0.040100187,0.037326959,0.042850679,0.045075216,0.045480945,0.041819111,0.045623603,0.039901059,0.037129083,0.032869583,0.038040811,0.035143875,0.03549361,0.038332187,0.043085324,0.033563237,0.030222546,0.023048596,0.02798171,0.022326913,0.023785652,0.023171876,0.023840224
